Original_Title,HLTB_Found,HLTB_Game_Name,HLTB_Main_Story,HLTB_Main_Extra,HLTB_Completionist,HLTB_All_Styles,HLTB_Review_Score,HLTB_Platforms,HLTB_Release_World,HLTB_Similarity,HLTB_Match_Score,HLTB_Query_Used
Backpack Hero,True,Backpack Hero,12.29,46.38,57.89,38.98,70.0,"Linux, Mac, Nintendo Switch, PC",2022.0,1.0,1.0,Backpack Hero
Bad North: Jotunn Edition,False,,,,,,,,,,,
Barony,True,Barony,11.58,27.73,65.53,17.64,70.0,PC,2015.0,1.0,1.0,Barony
Batman Arkham - Trilogy,False,,,,,,,,,,,
Batman: Arkham City - Game of the Year Edition,True,Batman: Arkham City,12.45,21.58,45.87,18.23,86.0,"OnLive, PC, PlayStation 3, Wii U, Xbox 360",2011.0,1.0,0.99,Batman: Arkham City
Batman: Arkham Knight,True,Batman: Arkham Knight,17.03,31.47,51.26,30.95,83.0,"PC, PlayStation 4, Xbox One",2015.0,1.0,1.0,Batman: Arkham Knight
Bear and Breakfast,True,Bear and Breakfast,21.61,25.94,35.29,31.1,66.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5",2022.0,1.0,1.0,Bear and Breakfast
Behind the Frame: The Finest Scenery,True,Behind the Frame: The Finest Scenery,1.2,1.56,1.93,1.54,74.0,"Mobile, Nintendo Switch, PC, PlayStation 4",2021.0,1.0,1.0,Behind the Frame: The Finest Scenery
Beholder,True,Beholder,6.08,10.49,21.41,8.72,69.0,"Mobile, Nintendo Switch, PC, PlayStation 4, Xbox One",2016.0,1.0,1.0,Beholder
Bendy and the Ink Machine,True,Bendy and the Ink Machine,4.58,7.0,11.85,5.57,67.0,"Mobile, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2018.0,1.0,1.0,Bendy and the Ink Machine
Beyond Blue,True,Beyond Blue,2.64,3.97,5.41,3.81,68.0,"Mobile, Nintendo Switch, PC, PlayStation 4, Xbox One",2020.0,1.0,1.0,Beyond Blue
BioShock 2 Remastered,True,BioShock 2,10.54,14.41,23.69,12.94,79.0,"Nintendo Switch, PC, PlayStation 3, PlayStation 4, Xbox 360, Xbox One",2010.0,0.9767441860465116,0.99,BioShock 2 Remastered
BioShock Infinite: The Complete Edition,True,Bioshock Infinite: The Complete Edition,12.07,19.04,36.01,18.15,86.0,"Nintendo Switch, PC, PlayStation 3, Xbox 360",2014.0,1.0,1.0,BioShock Infinite: The Complete Edition
BioShock: The Collection,True,BioShock: The Collection,34.99,49.4,67.01,46.24,87.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2016.0,1.0,1.0,BioShock: The Collection
Black Book,True,Black Book,21.3,30.84,37.7,30.41,73.0,"Nintendo Switch, PC, PlayStation 4, Xbox One, Xbox Series X/S",2021.0,1.0,1.0,Black Book
Black Widow: Recharged,True,Black Widow: Recharged,1.46,2.81,5.09,2.64,57.0,"Linux, Mac, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2021.0,1.0,1.0,Black Widow: Recharged
