Original_Title,HLTB_Found,HLTB_Game_Name,HLTB_Main_Story,HLTB_Main_Extra,HLTB_Completionist,HLTB_All_Styles,HLTB_Review_Score,HLTB_Platforms,HLTB_Release_World,HLTB_Similarity,HLTB_Match_Score,HLTB_Query_Used
LIMBO,True,Limbo,3.58,4.18,6.74,3.99,76.0,"Linux, Mac, Mobile, Nintendo Switch, PC, PlayStation 3, PlayStation 4, PlayStation Vita, Xbox 360, Xbox One",2010.0,1.0,1.0,LIMBO
LISA: Definitive Edition,True,LISA: Definitive Edition,13.2,15.09,19.04,14.87,78.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2023.0,1.0,1.0,LISA: Definitive Edition
LISA: The Painful - Definitive Edition,True,LISA: The Painful,10.87,15.09,25.28,14.0,83.0,"Linux, Mac, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2014.0,1.0,0.99,LISA: The Painful - Definitive Edition
LOVE,True,LOVE,0.58,1.46,7.25,1.1,66.0,"Mobile, Nintendo Switch, PC",2014.0,1.0,1.0,LOVE
"LOVE Classic (classic version, 2008 recoded in 2020)",False,,,,,,,,,,,
Last Day of June,True,Last Day of June,3.11,3.54,4.03,3.53,73.0,"Nintendo Switch, PC, PlayStation 4",2017.0,1.0,1.0,Last Day of June
Lawn Mowing Simulator,True,Lawn Mowing Simulator,16.41,31.3,70.18,39.51,58.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2021.0,1.0,1.0,Lawn Mowing Simulator
Layers of Fear 2,True,Layers of Fear 2,5.01,6.08,10.67,5.7,64.0,"Nintendo Switch, Nintendo Switch 2, PC, PlayStation 4, Xbox One",2019.0,1.0,1.0,Layers of Fear 2
Layers of Fear: Masterpiece Edition,True,Layers of Fear,3.43,4.66,11.46,4.26,69.0,"Linux, Mac, Nintendo Switch, PC, PlayStation 4, Xbox One",2016.0,0.7446808510638298,0.99,Layers of Fear: Masterpiece Edition
Legion TD 2,True,Legion TD 2,3.88,6.01,0.0,4.56,66.0,PC,2017.0,1.0,1.0,Legion TD 2
Lego Batman Trilogy,False,,,,,,,,,,,
Lifeless Planet: Premier Edition,False,,,,,,,,,,,
Little Inferno,True,Little Inferno,3.37,4.17,4.82,4.09,72.0,"Mobile, Nintendo Switch, PC, Wii U",2012.0,1.0,1.0,Little Inferno
Little Nightmares,True,Little Nightmares,3.57,5.16,9.04,4.3,78.0,"Google Stadia, Mobile, Nintendo Switch, Nintendo Switch 2, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2017.0,1.0,1.0,Little Nightmares
Loop Hero,True,Loop Hero,28.56,37.13,54.99,37.09,75.0,"Mobile, Nintendo Switch, PC, Xbox One, Xbox Series X/S",2021.0,1.0,1.0,Loop Hero
Lost Castle,True,Lost Castle,12.19,28.02,68.58,23.15,63.0,"Nintendo Switch, PC, PlayStation 4",2016.0,1.0,1.0,Lost Castle
LumbearJack,True,LumbearJack,1.55,1.81,2.04,1.87,69.0,"Nintendo Switch, PC, Xbox One, Xbox Series X/S",2022.0,1.0,1.0,LumbearJack
MORDHAU,True,MORDHAU,15.79,71.88,175.86,129.7,70.0,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2019.0,1.0,1.0,MORDHAU
MOTHERGUNSHIP,True,Mothergunship,4.31,10.62,16.21,8.24,62.0,"PC, PlayStation 4, Xbox One",2018.0,1.0,1.0,MOTHERGUNSHIP
MR RACER: Premium,False,,,,,,,,,,,
Machinarium,True,Machinarium,5.11,5.34,5.99,5.3,77.0,"Mobile, Nintendo Switch, PC, PlayStation 3, PlayStation 4, PlayStation Vita, Xbox One",2009.0,1.0,1.0,Machinarium
Mages of Mystralia,True,Mages of Mystralia,8.74,11.33,14.24,11.77,67.0,"PC, PlayStation 4",2017.0,1.0,1.0,Mages of Mystralia
Maid of Sker,True,Maid of Sker,4.43,5.19,6.41,4.87,64.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2020.0,1.0,1.0,Maid of Sker
Make Way,True,Make Way,1.93,8.1,0.0,4.87,70.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2023.0,1.0,1.0,Make Way
Maneater,True,Maneater,8.13,10.24,12.93,11.33,71.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2020.0,1.0,1.0,Maneater
Marvel's Guardians of the Galaxy,True,Marvel's Guardians of the Galaxy,17.6,20.39,25.99,19.94,82.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2021.0,1.0,1.0,Marvel's Guardians of the Galaxy
Marvel’s Midnight Suns,False,,,,,,,,,,,
Melvor Idle,True,Melvor Idle,1131.92,1403.06,1857.27,1603.35,75.0,"Mobile, PC",2020.0,1.0,1.0,Melvor Idle
Metro 2033 Redux,True,Metro 2033 Redux,9.05,11.54,23.66,10.64,77.0,"Google Stadia, Linux, Mac, Nintendo Switch, PC, PlayStation 4, Xbox One",2014.0,1.0,1.0,Metro 2033 Redux
Metro: Last Light Redux,True,Metro: Last Light Redux,9.78,13.51,27.7,11.97,80.0,"Google Stadia, Linux, Mac, Nintendo Switch, PC, PlayStation 4, Xbox One",2014.0,1.0,1.0,Metro: Last Light Redux
Midnight Ghost Hunt,True,Midnight Ghost Hunt,2.19,15.0,500.0,45.79,64.0,PC,2022.0,1.0,1.0,Midnight Ghost Hunt
Mighty Fight Federation,True,Mighty Fight Federation,1.43,0.0,0.0,1.43,49.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One",2021.0,1.0,1.0,Mighty Fight Federation
Minit,True,Minit,1.67,2.21,3.95,2.21,73.0,"Mobile, Nintendo Switch, PC, PlayStation 4, Xbox One",2018.0,1.0,1.0,Minit
Model Builder,True,Model Builder,17.57,17.78,29.72,24.22,64.0,PC,2022.0,1.0,1.0,Model Builder
Monument Valley,True,Monument Valley,1.46,2.34,2.73,2.12,80.0,"Mobile, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2014.0,1.0,1.0,Monument Valley
Monument Valley 2,True,Monument Valley 2,1.55,1.68,1.73,1.67,80.0,"Mobile, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2017.0,1.0,1.0,Monument Valley 2
Moonlighter,True,Moonlighter,14.07,20.58,29.7,17.21,73.0,"Google Stadia, Mobile, Nintendo Switch, PC, PlayStation 4, Xbox One",2018.0,1.0,1.0,Moonlighter
Mortal Shell,True,Mortal Shell,10.62,14.17,22.98,13.18,67.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2020.0,1.0,1.0,Mortal Shell
Moving Out,True,Moving Out,5.22,10.02,18.45,8.03,71.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2020.0,1.0,1.0,Moving Out
MudRunner,True,MudRunner,17.46,23.78,44.9,26.93,69.0,"Mobile, Nintendo Switch, PC, PlayStation 4, Xbox One",2017.0,1.0,1.0,MudRunner
Murder by Numbers,True,Murder by Numbers,20.34,27.91,32.45,27.95,73.0,"Google Stadia, Nintendo Switch, PC",2020.0,1.0,1.0,Murder by Numbers
Mutant Year Zero: Road to Eden,True,Mutant Year Zero: Road to Eden,13.03,18.43,23.54,18.25,75.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2018.0,1.0,1.0,Mutant Year Zero: Road to Eden
Mutazione,True,Mutazione,6.15,8.34,10.83,8.09,77.0,"Mobile, Nintendo Switch, PC, PlayStation 4, Xbox One",2019.0,1.0,1.0,Mutazione
My Night Job,True,My Night Job,0.0,0.0,0.0,0.0,17.0,PC,2016.0,1.0,1.0,My Night Job
My Time At Portia,True,My Time At Portia,69.13,110.07,141.33,106.84,71.0,"Mobile, Nintendo Switch, PC, PlayStation 4, Xbox One",2018.0,1.0,1.0,My Time At Portia
NBA 2K21,True,NBA 2K21,22.67,65.59,112.14,39.0,65.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2020.0,1.0,1.0,NBA 2K21
"Neko Ghost, Jump",True,"Neko Ghost, Jump!",0.0,0.0,0.0,0.0,31.0,"Linux, PC",2022.0,0.9696969696969696,1.0,"Neko Ghost, Jump"
Neon Abyss,True,Neon Abyss,11.23,33.63,87.27,18.79,69.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2020.0,1.0,1.0,Neon Abyss
Never Alone (Kisima Ingitchuna),False,,,,,,,,,,,
Neverwinter - Epic Starter Pack,False,,,,,,,,,,,
Next Up Hero,True,Next Up Hero,15.0,0.0,0.0,15.0,44.0,"PC, Xbox One",2018.0,1.0,1.0,Next Up Hero
Night in the Woods,True,Night in the Woods,8.9,12.25,24.5,11.15,78.0,"Linux, Mac, Mobile, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One",2017.0,1.0,1.0,Night in the Woods
Nightingale,True,Nightingale,26.38,51.23,124.0,41.2,56.0,PC,2024.0,1.0,1.0,Nightingale
Nioh: The Complete Edition,False,,,,,,,,,,,
Nobody Wants to Die,True,Nobody Wants to Die,5.78,6.6,8.21,6.24,73.0,"PC, PlayStation 5, Xbox Series X/S",2024.0,1.0,1.0,Nobody Wants to Die
Nuclear Throne,True,Nuclear Throne,17.02,58.36,190.6,31.22,76.0,"Nintendo Switch, PC, PlayStation 3, PlayStation 4, PlayStation Vita, Xbox One",2015.0,1.0,1.0,Nuclear Throne
Obduction,True,Obduction,11.9,15.11,15.29,13.05,72.0,"Mac, PC, PlayStation 4, Xbox One",2016.0,1.0,1.0,Obduction
Oddworld: New 'n' Tasty,True,Oddworld: New 'n' Tasty!,7.44,9.61,12.07,9.05,73.0,"Linux, Mac, Mobile, Nintendo Switch, PC, PlayStation 3, PlayStation 4, PlayStation Vita, Wii U, Xbox One",2014.0,0.9787234042553192,1.0,Oddworld: New 'n' Tasty
Offworld Trading Company,True,Offworld Trading Company,9.48,33.58,118.94,16.84,65.0,PC,2016.0,1.0,1.0,Offworld Trading Company
Ogu and the Secret Forest,True,Ogu and the Secret Forest,13.0,16.19,25.37,18.47,75.0,"Mac, Mobile, Nintendo Switch, PC",2023.0,1.0,1.0,Ogu and the Secret Forest
Olympics™ Go! Paris 2024 - Exclusive Outfits pack,False,,,,,,,,,,,
Orcs Must Die! 3,True,Orcs Must Die! 3,10.11,16.23,49.52,15.46,74.0,"Google Stadia, PC, PlayStation 4, Xbox One, Xbox Series X/S",2021.0,1.0,1.0,Orcs Must Die! 3
Orwell: Keeping an Eye on You,True,Orwell,4.56,6.18,9.67,5.56,73.0,"Mobile, PC",2016.0,1.0,0.96,Orwell: Keeping an Eye on You
Out There - Omega Edition,False,,,,,,,,,,,
Out of Line,True,Out of Line,2.86,2.9,3.21,2.98,66.0,"Nintendo Switch, PC, Xbox One",2021.0,1.0,1.0,Out of Line
Outliver: Tribulation,True,Outliver: Tribulation,2.45,3.42,3.64,3.44,45.0,PC,2023.0,1.0,1.0,Outliver: Tribulation
Overcooked,True,Overcooked,7.75,10.27,12.13,9.9,78.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2016.0,1.0,1.0,Overcooked
Overcooked! 2,True,Overcooked! 2,7.09,11.82,25.42,10.55,80.0,"Nintendo Switch, Nintendo Switch 2, PC, PlayStation 4, Xbox One",2018.0,1.0,1.0,Overcooked! 2
Oxenfree,True,Oxenfree,4.45,5.67,13.17,5.44,76.0,"Mobile, Nintendo Switch, PC, PlayStation 4, Xbox One",2016.0,1.0,1.0,Oxenfree
PAYDAY 2,True,Payday 2,27.13,154.99,537.95,137.62,71.0,"Linux, Nintendo Switch, PC, PlayStation 3, PlayStation 4, Xbox 360, Xbox One",2013.0,1.0,1.0,PAYDAY 2
PC Building Simulator,True,PC Building Simulator,23.42,56.91,93.36,50.42,67.0,"PC, PlayStation 4, Xbox One",2018.0,1.0,1.0,PC Building Simulator
Paladins - Epic Pack,False,,,,,,,,,,,
Paradigm,True,Paradigm,6.01,7.81,8.33,7.01,76.0,"Linux, Mac, PC",2017.0,1.0,1.0,Paradigm
Paradise Killer,True,Paradise Killer,11.57,14.17,15.29,14.14,81.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2020.0,1.0,1.0,Paradise Killer
Pathfinder: Kingmaker - Enhanced Plus Edition,False,,,,,,,,,,,
Pathway,True,Pathway,11.03,16.97,37.28,15.57,63.0,"Nintendo Switch, PC",2019.0,1.0,1.0,Pathway
Pikuniku,True,Pikuniku,3.11,3.87,6.49,3.78,72.0,"Google Stadia, Nintendo Switch, PC, Xbox One",2019.0,1.0,1.0,Pikuniku
Pilgrims,True,Pilgrims,0.86,1.22,2.04,1.31,74.0,"Linux, Mac, Mobile, Nintendo Switch, PC",2019.0,1.0,1.0,Pilgrims
Pillars of Eternity: Definitive Edition,True,Pillars of Eternity,36.21,64.06,110.96,66.39,80.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2015.0,1.0,0.99,Pillars of Eternity
Pine,True,Pine,17.03,21.45,35.66,21.43,61.0,"Linux, Mac, Nintendo Switch, PC, PlayStation 4",2019.0,1.0,1.0,Pine
Poison Retro Set,False,,,,,,,,,,,
Poker Club,True,Poker Club,1.5,0.0,0.0,1.5,41.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2020.0,1.0,1.0,Poker Club
Potion Permit,True,Potion Permit,20.91,27.57,34.77,29.71,71.0,"Mobile, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2021.0,1.0,1.0,Potion Permit
Predecessor,True,Predecessor,1.0,0.0,0.0,1.0,68.0,"PC, PlayStation 4, PlayStation 5, Xbox Series X/S",2022.0,1.0,1.0,Predecessor
Prey Digital Deluxe,False,,,,,,,,,,,
Prison Architect,True,Prison Architect,17.0,43.38,70.2,30.67,72.0,"Linux, Mac, Mobile, Nintendo Switch, PC, PlayStation 4, Xbox One",2015.0,1.0,1.0,Prison Architect
Project Winter,True,Project Winter,9.82,19.78,123.78,49.2,66.0,"PC, Xbox One",2019.0,1.0,1.0,Project Winter
Prop Sumo,True,Prop Sumo,0.0,0.0,0.0,0.0,20.0,PC,2026.0,1.0,1.0,Prop Sumo
Q.U.B.E. 2,True,Q.U.B.E. 2,5.29,7.37,7.75,5.96,73.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2018.0,1.0,1.0,Q.U.B.E. 2
Q.U.B.E. ULTIMATE BUNDLE,False,,,,,,,,,,,
RAGE 2,True,Rage 2,10.61,19.23,32.79,17.82,65.0,"Google Stadia, PC, PlayStation 4, Xbox One",2019.0,1.0,1.0,RAGE 2
RAWMEN Sakura Gusoku Cosmetic Set,False,,,,,,,,,,,
RAWMEN: Food Fighter Arena 🍜,False,,,,,,,,,,,
RPG in a Box,True,RPG in a Box,0.0,0.0,0.0,0.0,69.0,"Linux, Mac, PC",2016.0,1.0,1.0,RPG in a Box
RUINER,True,RUINER,5.42,7.45,15.86,6.34,72.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2017.0,1.0,1.0,RUINER
Railway Empire,True,Railway Empire,21.12,73.99,265.99,44.55,72.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2018.0,1.0,1.0,Railway Empire
Rayman Legends,True,Rayman Legends,10.05,16.12,31.61,16.37,84.0,"Google Stadia, Nintendo Switch, PC, PlayStation 3, PlayStation 4, PlayStation Vita, Wii U, Xbox 360, Xbox One",2013.0,1.0,1.0,Rayman Legends
Realm Royale Reforged - Epic Launch Bundle,False,,,,,,,,,,,
Rebel Galaxy,True,Rebel Galaxy,21.99,31.3,53.35,32.71,70.0,"PC, PlayStation 4, Xbox One",2015.0,1.0,1.0,Rebel Galaxy
Recipe for Disaster,True,Recipe for Disaster,15.72,19.88,23.92,21.25,63.0,PC,2021.0,1.0,1.0,Recipe for Disaster
Redout 2,True,Redout II,32.58,49.77,0.0,46.81,68.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2022.0,1.0,0.9,Redout 2
Redout: Enhanced Edition,True,Redout,10.06,20.44,49.75,19.76,68.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2016.0,1.0,0.99,Redout: Enhanced Edition
Relicta,True,Relicta,13.97,22.47,25.2,17.82,60.0,"Google Stadia, PC, PlayStation 4, Xbox One",2020.0,1.0,1.0,Relicta
Remnant: From The Ashes,True,Remnant: From the Ashes,13.26,20.84,58.76,18.69,73.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2019.0,1.0,1.0,Remnant: From The Ashes
Remnant: From the Ashes,True,Remnant: From the Ashes,13.26,20.84,58.76,18.69,73.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2019.0,1.0,1.0,Remnant: From the Ashes
Residual,True,Residual,3.0,0.0,0.0,3.0,0.0,"Linux, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2021.0,1.0,1.0,Residual
Return to Ash,True,Return to Ash,1.16,1.9,3.42,1.91,65.0,"Linux, Mac, PC",2025.0,1.0,1.0,Return to Ash
RiME,True,RiME,5.73,6.88,10.39,6.55,74.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2017.0,1.0,1.0,RiME
Ring of Pain,True,Ring of Pain,7.88,21.16,89.67,14.4,73.0,"Nintendo Switch, PC, Xbox One",2020.0,1.0,1.0,Ring of Pain
Rise of Industry,True,Rise of Industry,18.93,48.13,54.51,32.2,64.0,PC,2018.0,1.0,1.0,Rise of Industry
Rise of the Tomb Raider: 20 Year Celebration,True,Rise of the Tomb Raider: 20 Year Celebration,14.21,23.71,38.77,22.96,80.0,"Google Stadia, PC, PlayStation 4, Xbox One",2016.0,1.0,1.0,Rise of the Tomb Raider: 20 Year Celebration
Rising Hell,True,Rising Hell,3.32,5.76,10.01,3.92,71.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2019.0,1.0,1.0,Rising Hell
Rising Storm 2: Vietnam,True,Rising Storm 2: Vietnam,2.18,56.0,0.0,7.57,71.0,PC,2017.0,1.0,1.0,Rising Storm 2: Vietnam
River City Girls,True,River City Girls,6.94,8.54,15.83,8.41,75.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One",2019.0,1.0,1.0,River City Girls
Riverbond,True,Riverbond,5.04,5.05,6.1,5.57,65.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2019.0,1.0,1.0,Riverbond
Road Redemption,True,Road Redemption,5.72,10.61,37.9,8.9,66.0,"PC, PlayStation 4, Xbox One",2014.0,1.0,1.0,Road Redemption
Road Redemption Mobile - Full Game,False,,,,,,,,,,,
Rocket League® - TriTrim Wheels,False,,,,,,,,,,,
Rogue Company - Season Four Epic Pack,False,,,,,,,,,,,
Rogue Legacy,True,Rogue Legacy,16.44,26.36,38.72,21.62,77.0,"Mobile, PC, Nintendo Switch, PlayStation 3, PlayStation 4, PlayStation Vita, Xbox One",2013.0,1.0,1.0,Rogue Legacy
RollerCoaster Tycoon 3: Complete Edition,True,RollerCoaster Tycoon 3: Complete Edition,20.47,61.65,190.02,53.31,72.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2020.0,1.0,1.0,RollerCoaster Tycoon 3: Complete Edition
Rugrats: Adventures in Gameland,True,Rugrats: Adventures in Gameland,1.67,2.01,2.3,2.07,58.0,"NES, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2024.0,1.0,1.0,Rugrats: Adventures in Gameland
Rumble Club - Free Game of the Week Bonus,False,,,,,,,,,,,
Rumbleverse - Boom Boxer Content Pack,False,,,,,,,,,,,
Rumbleverse - Epic Cheerleader Pack,False,,,,,,,,,,,
Runbow,True,Runbow,2.85,7.58,14.56,5.56,69.0,"Nintendo Switch, PC, PlayStation 4, Wii U, Xbox One",2015.0,1.0,1.0,Runbow
Rustler (Grand Theft Horse),False,,,,,,,,,,,
SIFU,True,Sifu,7.77,14.07,22.26,11.92,80.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2022.0,1.0,1.0,SIFU
SKALD: Against the Black Priory,True,SKALD: Against the Black Priory,16.91,20.53,26.65,22.55,79.0,"Mac, PC",2024.0,1.0,1.0,SKALD: Against the Black Priory
SMITE 2 Thanatoasty Bundle,False,,,,,,,,,,,
SOMA,True,Soma,9.08,10.92,11.1,10.13,83.0,"Linux, Mac, Nintendo Switch, PC, PlayStation 4, Xbox One",2015.0,1.0,1.0,SOMA
STALCRAFT: X Edition Starter,False,,,,,,,,,,,
STAR WARS Battlefront II: Celebration Edition,False,,,,,,,,,,,
STAR WARS: Squadrons,True,Star Wars: Squadrons,9.09,11.87,41.62,9.77,69.0,"PC, PlayStation 4, Xbox One",2020.0,1.0,1.0,STAR WARS: Squadrons
STAR WARS™ Knights of the Old Republic™,False,,,,,,,,,,,
STAR WARS™ Knights of the Old Republic™ II - The Sith Lords™,False,,,,,,,,,,,
SUPER CRAZY RHYTHM CASTLE,True,Super Crazy Rhythm Castle,6.42,14.19,28.49,10.59,69.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2023.0,1.0,1.0,SUPER CRAZY RHYTHM CASTLE
SUPERHOT,True,SUPERHOT,2.39,5.17,20.01,3.31,77.0,"Google Stadia, Nintendo Switch, PC, PlayStation 4, Xbox One",2016.0,1.0,1.0,SUPERHOT
Sable,True,Sable,7.42,14.15,20.78,15.3,67.0,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2021.0,1.0,1.0,Sable
Sail Forth,True,Sail Forth,16.21,28.57,37.5,23.21,67.0,"Linux, Mac, Nintendo Switch, Nintendo Switch 2, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2022.0,1.0,1.0,Sail Forth
Saints Row,True,Saints Row,12.6,26.96,52.52,23.12,55.0,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2022.0,1.0,1.0,Saints Row
Saints Row IV: Re-Elected,True,Saints Row IV: Re-Elected,14.95,26.14,43.31,26.72,72.0,"Google Stadia, Nintendo Switch, PC, PlayStation 4, Xbox One",2015.0,1.0,1.0,Saints Row IV: Re-Elected
Saints Row: The Third - Remastered,True,Saints Row: The Third Remastered,13.32,22.33,39.84,22.14,75.0,"Nintendo Switch, PC, PlayStation 3, PlayStation 4, PlayStation 5, Xbox 360, Xbox One, Xbox Series X/S",2012.0,0.7924528301886793,1.0,Saints Row: The Third
Salt and Sanctuary,True,Salt & Sanctuary,16.46,21.5,32.11,21.25,78.0,"Nintendo Switch, PC, PlayStation 4, PlayStation Vita, Xbox One",2016.0,1.0,1.0,Salt and Sanctuary
Samorost 2,True,Samorost 2,1.05,1.07,1.11,1.06,68.0,"Browser, Mobile, PC",2009.0,1.0,1.0,Samorost 2
Samorost 3,True,Samorost 3,4.64,5.12,5.13,5.02,77.0,"Mobile, PC",2016.0,1.0,1.0,Samorost 3
Samurai Shodown Neogeo Collection,True,Samurai Shodown NeoGeo Collection,3.27,6.13,31.14,10.61,66.0,"Nintendo Switch, PC, PlayStation 4",2020.0,1.0,1.0,Samurai Shodown Neogeo Collection
Saturnalia,True,Saturnalia,8.0,8.4,10.37,8.76,73.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2022.0,1.0,1.0,Saturnalia
Scourgebringer,True,ScourgeBringer,8.13,11.23,13.43,10.31,70.0,"Mobile, Nintendo Switch, PC, PlayStation 4, PlayStation Vita, Xbox One",2020.0,1.0,1.0,Scourgebringer
Second Extinction,True,Second Extinction,7.36,7.97,16.78,9.1,50.0,"PC, Xbox One",2020.0,1.0,1.0,Second Extinction
Severed Steel,True,Severed Steel,3.03,6.25,21.52,3.89,77.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2021.0,1.0,1.0,Severed Steel
Shadow Tactics: Aiko's Choice,True,Shadow Tactics: Blades of the Shogun - Aiko's Choice,7.26,10.14,13.75,8.77,82.0,"Linux, Nintendo Switch 2, PC, PlayStation 5, Xbox Series X/S",2021.0,0.7160493827160493,0.94,Shadow Tactics: Aiko's Choice
Shadow Tactics: Blades of the Shogun,True,Shadow Tactics: Blades of the Shogun,24.91,30.47,57.44,27.99,82.0,"Linux, Mac, Nintendo Switch 2, PC, PlayStation 4, Xbox One",2016.0,1.0,1.0,Shadow Tactics: Blades of the Shogun
Shadow of the Tomb Raider: Definitive Edition,True,Shadow of the Tomb Raider: Definitive Edition,12.9,26.15,42.56,22.92,78.0,"Google Stadia, Linux, Mac, PC, PlayStation 4, Xbox One",2018.0,1.0,1.0,Shadow of the Tomb Raider: Definitive Edition
Shadowrun Collection,False,,,,,,,,,,,
Shadowrun: Dragonfall - Director's Cut,True,Shadowrun: Dragonfall - Director's Cut,20.61,29.5,41.68,30.09,80.0,"Linux, Mac, Mobile, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2014.0,1.0,1.0,Shadowrun: Dragonfall - Director's Cut
Shadowrun: Hong Kong - Extended Edition,True,Shadowrun: Hong Kong - Extended Edition,20.49,41.69,47.65,40.52,76.0,"Linux, Mac, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2016.0,1.0,1.0,Shadowrun: Hong Kong - Extended Edition
Sheltered,True,Sheltered,21.47,31.71,32.79,28.95,65.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2015.0,1.0,1.0,Sheltered
Shenmue III,True,Shenmue III,24.64,34.89,57.15,32.12,65.0,"Nintendo Switch 2, PC, PlayStation 4, PlayStation 5, Xbox Series X/S",2019.0,1.0,1.0,Shenmue III
Sherlock Holmes: Crimes and Punishments,True,Sherlock Holmes: Crimes and Punishments,12.6,14.81,15.46,14.21,75.0,"Nintendo Switch, PC, PlayStation 3, PlayStation 4, Xbox 360, Xbox One",2014.0,1.0,1.0,Sherlock Holmes: Crimes and Punishments
Shop Titans - Exclusive Package,False,,,,,,,,,,,
Shotgun King: The Final Checkmate,True,Shotgun King: The Final Checkmate,1.51,9.5,47.55,3.65,71.0,"Mobile, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2022.0,1.0,1.0,Shotgun King: The Final Checkmate
Sid Meier's Civilization VI,True,Sid Meier's Civilization VI,23.35,98.65,387.6,64.07,80.0,"Linux, Mac, Mobile, Nintendo Switch, PC, PlayStation 4, Xbox One",2016.0,1.0,1.0,Sid Meier's Civilization VI
Sid Meier’s Civilization® VI Platinum Edition,False,,,,,,,,,,,
Sifu,True,Sifu,7.77,14.07,22.26,11.92,80.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2022.0,1.0,1.0,Sifu
Skul: The Hero Slayer,True,Skul: The Hero Slayer,20.49,40.39,62.06,28.95,70.0,"Linux, Mac, Mobile, Nintendo Switch, PC, PlayStation 4, Xbox One",2021.0,1.0,1.0,Skul: The Hero Slayer
Sky Racket,True,Sky Racket,2.42,6.0,10.0,3.6,73.0,"Nintendo Switch, PC",0.0,1.0,1.0,Sky Racket
Slain: Back From Hell,True,Slain: Back from Hell,6.06,8.38,11.67,7.32,61.0,"Linux, Mac, Nintendo Switch, PC, PlayStation 4, PlayStation Vita, Xbox One",2016.0,1.0,1.0,Slain: Back From Hell
Slime Rancher,True,Slime Rancher,14.59,22.88,38.18,23.19,78.0,"Linux, Mac, Nintendo Switch, PC, PlayStation 4, Xbox One",2017.0,1.0,1.0,Slime Rancher
