daterange_wiki,title_wiki,year_wiki,source_wiki,link_wiki,developer_wiki,publisher_wiki,releasedate_wiki,genre_wiki,engine_wiki,director_wiki,artist_wiki,composer_wiki,platform_wiki,designer_wiki,writer_wiki,programmer_wiki,mode_wiki,summary_wiki,background_wiki
26 March - 2 April 2020,Figment,2020,https://www.cybersport.ru/games/news/v-epic-games-store-nachalas-razdacha-world-war-z-i-dvukh-indi-igr,https://en.wikipedia.org/wiki/Figment,,,,,,,,,,,,,,Figment may refer to:,
1-8 April 2020,Totally Reliable Delivery Service,2020,https://dtf.ru/sale/119488-v-epic-games-store-nachalas-razdacha-totally-reliable-delivery-service-igra-stala-besplatnoy-v-den-vyhoda,https://en.wikipedia.org/wiki/Totally_Reliable_Delivery_Service,We're Five Games,,"April 1, 2020PlayStation 5, Xbox Series X/SOctober 22, 2025",Party,Unity,,,,,,,,Multiplayer,"Totally Reliable Delivery Service is a multiplayer party video game developed by We're Five Games and originally published by tinyBuild and currently by Infogrames. The game involves using teamwork to deliver packages safely. The game became available on Nintendo Switch, Windows, macOS, PlayStation 4, Xbox One, iOS and Android in April 2020. Ports to the PlayStation 5 and the Xbox Series X/S were released in October 2025.",
2-9 April 2020,Drawful 2,2020,https://www.igromania.ru/news/92342/Hob_i_Gone_Home_teper_razdayut_v_Epic_Games_Store.html,https://en.wikipedia.org/wiki/Drawful_2,,,,,,,,,,,,,,"Jackbox Games, Inc. (formerly Jellyvision Games, Inc.) is an American video game developer based in Chicago, Illinois, best known for the You Don't Know Jack series of quiz-based party video games and The Jackbox Party Pack series. Founded by Harry Gottlieb, the company operated as Jellyvision Games from 1995 until its closure in 2001. After seven years of dormancy, Jellyvision Games was revived in 2008, and the company rebranded as Jackbox Games in 2013.",
9-16 April 2020,Sherlock Holmes: Crimes & Punishments,2020,https://www.igromania.ru/news/92581/Sherlock_Holmes_Just_Cause_4_Close_to_the_Sun_besplatnye_igry_v_Epic_Games_Store.html,https://en.wikipedia.org/wiki/Sherlock_Holmes%3A_Crimes_%26_Punishments,Frogwares,,"Windows, PS3, PS4, X360, XBOAU: 30 September 2014NA: 30 September 2014EU: 3 October 2014Nintendo SwitchWW: 3 February 2022",Adventure,Unreal Engine 3,,,Kevin MacLeod,,,,,Single-player,"Sherlock Holmes: Crimes & Punishments is an adventure mystery video game in the Sherlock Holmes series developed by Frogwares in 2014 and distributed by Focus Home Interactive from 2014 to 2019 for Microsoft Windows, PlayStation 3, PlayStation 4, Xbox 360, and Xbox One. Frogwares regained the publishing rights to the title on Steam and the game reappeared on other platforms in the start of 2020. A Nintendo Switch version was released on February 3, 2022.","The game takes place in London and its suburbs in 1894 and 1895 with gameplay focused on finding the right culprit and making the moral choice of absolving or condemning them. The game is the first in the series to use the Unreal Engine 3, and was inspired by Arthur Conan Doyle's original stories. The game is split into six cases of murders, disappearances and thefts written in the tradition of Doyle novels. Its title is a play on the title of the Russian novel Crime and Punishment by author Fyodor Dostoyevsky, which Sherlock is frequently seen reading during the game."
16-23 April 2020,Just Cause 4,2020,https://dtf.ru/sale/125543-v-epic-games-store-nachalas-razdacha-just-cause-4-i-wheels-of-aurelia,https://en.wikipedia.org/wiki/Just_Cause_4,Avalanche Studios,Square Enix,4 December 2018,Action-adventure,APEX,Francesco Antolini,,Zach Abramson,,Joe Ishikura,Omar Shakir,,Single-player,"Just Cause 4 is a 2018 action-adventure game developed by Avalanche Studios and published by Square Enix. It is the fourth game in the Just Cause series and the sequel to 2015's Just Cause 3 and was released for Microsoft Windows, PlayStation 4, and Xbox One on 4 December 2018.","In the game, the player assumes the role of series protagonist Rico Rodríguez who arrives in the fictional nation of Solís to take down The Black Hand, the world's biggest private military. The game uses a new version of Avalanche's Apex game engine. The new technology allows the game to feature diverse and extreme weather effects, including blizzards, sandstorms, tornadoes and more. Square Enix External Studios worked with Avalanche for the development.

Just Cause 4 received mixed reviews upon release, with criticisms directed towards its story, mission design, cutscenes and voice acting, while the graphics, sound design, controls and the open world mechanics are praised, the game also failed to meet the sales expectations of Square Enix."
23-30 April 2020,For the King,2020,https://www.igromania.ru/news/93051/Besplatnye_igry_v_Epic_Games_Store_For_the_King_Amnesia_i_Crashlands.html,https://en.wikipedia.org/wiki/For_the_King,IronOak Games,Curve Games,"April 19, 2018",,Unity,Colby Young,,,,,,,,"For the King is a roguelike role-playing video game developed by Canadian game developer IronOak Games and published by Curve Games. It was released in February 2017 to early access on Steam with a full release in April 2018. Gameplay revolves around exploration, clearing dungeons, and collecting new gear and weapons across the fictional land of Fahrul, with both co-op and single-player modes being available. A sequel, For the King II, was released on November 2, 2023.",
30 April - 7 May 2020,Amnesia: The Dark Descent,2020,https://dtf.ru/sale/130757-v-epic-games-store-nachalas-razdacha-crashlands-i-amnesia-the-dark-descent,https://en.wikipedia.org/wiki/Amnesia%3A_The_Dark_Descent,Frictional Games,Frictional Games,"8 September 2010, Linux, OS X, Windows8 September 2010PlayStation 422 November 2016Xbox One28 September 2018Switch12 September 2019",,HPL Engine 2,,,Mikko Tarmia,,,,,Single-player,"Amnesia: The Dark Descent is a 2010 survival horror adventure game developed and published by Frictional Games. It was first released on 8 September 2010 for Microsoft Windows, Mac OS X, and Linux. Later, it was released to PlayStation 4 on 22 November 2016, Xbox One on 28 September 2018, and Nintendo Switch on 12 September 2019 as part of The Amnesia Collection. The game follows Daniel, who must explore the dark and foreboding Castle Brennenburg, while trying to maintain his sanity by avoiding monsters and unsettling events.","Amnesia was met with a positive critical reception upon release. Reviewers consistently highlighted its innovative approach to survival horror, unique gameplay mechanics, and ability to evoke genuine fear, though some noted shortcomings in its narrative resolution and technical aspects. The game won a number of awards and garnered retrospective praise as one of the most influential games of the decade, and one of the best horror games of all time. It is also credited as contributing to the rise of popular Let's Play videos on the streaming platform YouTube.

Amnesia was followed by Amnesia: A Machine for Pigs (2013), an indirect sequel developed by The Chinese Room. In 2016, Amnesia: The Collection was released, a compilation that included Amnesia: The Dark Descent, its expansion Amnesia: Justine (2011), and Amnesia: A Machine for Pigs. In 2020, the series made a return with Amnesia: Rebirth, developed by Frictional Games, and serving as a direct sequel to The Dark Descent. The most recent addition to the franchise was released in 2023, titled Amnesia: The Bunker."
7-14 May 2020,Death Coming,2020,https://www.igromania.ru/news/93493/Epic_Games_obeschaet_cherez_nedelyu_razdachu_zagadochnoy_igry.html,,,,,,,,,,,,,,,,
14-21 May 2020,Grand Theft Auto V,2020,https://www.igromania.ru/news/93693/Grand_Theft_Auto_V_segodnya_stanet_besplatnoy_v_Epic_Games_Store.html,https://en.wikipedia.org/wiki/Grand_Theft_Auto_V,Rockstar North,Rockstar Games,"17 September 2013, PS3, Xbox 36017 September 2013PS4, Xbox One18 November 2014Windows14 April 2015PS5, Xbox Series X/S15 March 2022",Action-adventure,RAGE,,Aaron Garbut,,,,,Adam Fowler,,,
21-28 May 2020,Civilization VI,2020,https://games.mail.ru/pc/news/2020-05-21/v-egs-nachalas-besplatnaya-razdacha-strategii-civilization-6/,https://en.wikipedia.org/wiki/Civilization_VI,Firaxis Games,,"October 21, 2016, WindowsOctober 21, 2016macOSOctober 24, 2016LinuxFebruary 9, 2017iOSDecember 21, 2017Nintendo SwitchNovember 16, 2018PlayStation 4, Xbox OneNovember 22, 2019AndroidAugust 13, 2020",,,,Brian Busatti,Geoff Knorr,,Ed Beach,,,,"Sid Meier's Civilization VI is a 2016 4X turn-based strategy video game developed by American company Firaxis Games and published by 2K. The mobile and Nintendo Switch ports were published by Aspyr Media. It is the sequel to Civilization V (2010), and was released on Windows and macOS in October 2016, with later ports for Linux in February 2017, iOS in December 2017, Nintendo Switch in November 2018, PlayStation 4 and Xbox One in November 2019, and Android in 2020.","Similar to previous installments, the goal for the player is to develop a civilization from an early settlement through many in-game millennia to become a world power and achieve one of several victory conditions, such as through military domination, technological superiority, or cultural influence over the other human and computer-controlled opponents. Players do this by exploring the world, founding new cities, building city improvements, deploying military troops to attack and defend themselves from others, researching new technologies and civics advancements, developing an influential culture, and engaging in trade and negotiations with other world leaders.

The game features several civilizations not featured in previous incarnations of Civilization, while many returning civilizations have new capitals or new leaders. A critical design focus was to avoid having the player follow a pre-set path of improvements towards their civilization which they had observed from earlier games. New to Civilization VI is the use of districts outside the city center to house most of the buildings. For example, a campus district must be built in order to house science-based buildings. Other new features include research on the game's technology tree based on nearby terrain, a similar technology tree for cultural improvements, and a better government civics structure for those playing on a cultural victory path. There are also new artificial intelligence mechanics for computer-controlled opponents, which include secret goals and randomized engagements to disrupt an otherwise stable game."
28 May - 4 June 2020,"Borderlands: The Handsome Collection
Borderlands: The Pre-Sequel!
Borderlands 2",2020,https://3dnews.ru/1012079/epic-games-opyat-ranshe-vremeni-anonsirovala-novuyu-razdachu-segodnya-besplatnoy-stanet-borderlands-the-handsome-collection,https://en.wikipedia.org/wiki/Borderlands%3A_The_Handsome_Collection,Gearbox Software,2K,"NA: March 24, 2015WW: March 27, 2015Borderlands Legendary CollectionWW: May 28, 2020 (Xbox One)WW: May 29, 2020",,Unreal Engine 3,,,,,,,,,"Borderlands: The Handsome Collection is a compilation of first-person shooter games developed by Gearbox Software and published by 2K. The Handsome Collection consists of both Borderlands 2 (2012) and Borderlands: The Pre-Sequel (2014) for PlayStation 4 and Xbox One, along with all of their accompanying downloadable content, enhanced local multiplayer, and the ability to transfer save data from their respective PlayStation 3 (Both Borderlands 2 & The Pre-Sequel)/Vita/PSVR and Xbox 360 versions. For The Handsome Collection, Borderlands 2 was ported by Iron Galaxy Studios and Borderlands: The Pre-Sequel by Armature Studio.",
4-11 June 2020,Overcooked,2020,https://www.igromania.ru/news/94415/Overcooked-novaya_besplatnaya_igra_v_Epic_Games_Store.html,https://en.wikipedia.org/wiki/Overcooked,Ghost Town Games,Team17,"PlayStation 4, Windows, Xbox OneWW: 2 August 2016Nintendo SwitchWW: 27 July 2017Xbox Series X/SWW: 10 November 2020PlayStation 5NA/OC: 12 November 2020WW: 19 November 2020StadiaWW: 5 May 2022",Simulation,Unity,,,,,,,,,"Overcooked is a 2016 cooking simulation game developed by Ghost Town Games and published by Team17. In a local cooperative experience, players control a number of chefs in kitchens filled with various obstacles and hazards to rapidly prepare meals to specific orders under a time limit. The game was released for PlayStation 4, Windows, and Xbox One in August 2016. A Nintendo Switch version was released in July 2017.","Overcooked was nominated for four awards at the 13th British Academy Games Awards, eventually winning two for Best British Game and Best Family Game. A sequel, Overcooked 2, was released in August 2018. A remastered version bundled with the sequel, subtitled All You Can Eat, was first released as a launch title for both the Xbox Series X and PlayStation 5 in November 2020.

On November 5, 2025, Netflix announced that a reality TV series based on the game is in production. The series is being worked on by A24 and several of the game's developers."
11-18 June 2020,Ark: Survival Evolved,2020,https://dtf.ru/sale/146684-v-epic-games-store-nachalas-razdacha-ark-survival-evolved,https://en.wikipedia.org/wiki/Ark%3A_Survival_Evolved,Studio Wildcard,Studio Wildcard,"Linux, macOS, PS4, Windows, Xbox OneAugust 29, 2017Android, iOSJune 14, 2018Nintendo SwitchNovember 30, 2018StadiaSeptember 1, 2021",,Unreal Engine 4,,,Gareth Coker,,,,,,"Ark: Survival Evolved (stylized as ARK) is a 2017 action-adventure survival video game developed by Studio Wildcard. In the game, players must survive being stranded on one of several maps filled with roaming dinosaurs, fictional fantasy monsters, and other prehistoric animals, natural hazards, and potentially hostile human players.","The game is played from either a third-person or first-person perspective and its open world is navigated by foot or by riding a prehistoric animal. Players can use firearms and improvised weapons to defend against hostile humans and creatures, with the ability to build bases as a defence on the ground and on some creatures. The game has both single-player and multiplayer options. Multiplayer allows the option to form tribes of players in a server. The max number of tribe mates varies from each server. In this mode, all tamed dinosaurs and building structures are usually shared between the members. There is a PvE mode where players cannot fight each other unless a specific war event agreed upon by both parties is triggered.

Development began in October 2014, when it was first released on PC as an early access title in the middle of 2015. The development team conducted research into the physical appearance of the animals but took a creative license for gameplay purposes. Instinct Games, Effecto Studios, and Virtual Basement were hired to facilitate the game's development. The game was officially released in August 2017 for Linux, macOS, PlayStation 4, Windows, and Xbox One, with versions for Android, iOS, and Nintendo Switch in 2018, a version for Stadia in 2021, and a second, separate Nintendo Switch version in 2022."
18-25 June 2020,Pathway,2020,https://www.igromania.ru/news/94892/Pathway_AER_i_Stranger_Things_3_svezhie_besplatnye_igry_v_Epic_Games_Store.html,https://en.wikipedia.org/wiki/Pathway,,,,,,,,,,,,,,Pathway or pathways may refer to:,
25 June - 2 July 2020,AER: Memories of Old,2020,https://www.igromania.ru/news/95127/Conan_Exiles_i_Hue_stali_sleduyuschimi_besplatnymi_igrami_v_Epic_Games_Store.html,https://en.wikipedia.org/wiki/AER%3A_Memories_of_Old,Forgotten Key,Daedalic Entertainment,"Windows, PS4, Xbox OneOctober 25, 2017Nintendo SwitchAugust 28, 2019",Action-adventure,Unity,,,,,,,,Single-player,"Aer: Memories of Old (stylized as AER: Memories of Old) is an indie action-adventure open world video game developed by Forgotten Key and published by Daedalic Entertainment. It was released on October 25, 2017, for Microsoft Windows, PlayStation 4 and Xbox One, and on August 28, 2019, for Nintendo Switch. The game's story revolves around a girl named Auk who can shapeshift into a bird. Set on floating islands, the main character must solve puzzles, discovering ruins left by an ancient civilization. The game received mixed reviews from critics, who praised its aesthetic and world but criticized its short length and overall lack of action.","Robert Ramsey of Push Square rated the game 8/10 stars, calling it ""simple, elegant and impactful"", and comparing it to Journey and Abzû.

Jack Yarwood of PC Gamer rated the game 77/100, calling the graphics beautiful and saying that the flying mechanics felt ""wonderful"", but at the same time commenting on its short length and the fact that the game's interiors were confusing."
2-9 July 2020,Hue,2020,https://dtf.ru/sale/164163-v-epic-games-store-nachalas-razdacha-hue,https://en.wikipedia.org/wiki/Hue,,,,,,,,,,,,,,"In color theory, hue is one of the properties (called color appearance parameters) of a color, defined in the CIECAM02 model as ""the degree to which a stimulus can be described as similar to or different from stimuli that are described as red, orange, yellow, green, blue, violet,"" within certain theories of color vision.","Hue can typically be represented quantitatively by a single number, often corresponding to an angular position around a central or neutral point or axis on a color space coordinate diagram (such as a chromaticity diagram) or color wheel, or by its dominant wavelength or by that of its complementary color. The other color appearance parameters are colorfulness,  saturation (also known as intensity or chroma), lightness, and brightness. Usually, colors with the same hue are distinguished with adjectives referring to their lightness or colorfulness - for example: ""light blue"", ""pastel blue"", ""vivid blue"", and ""cobalt blue"". Exceptions include brown, which is a dark orange.

In painting, a hue is a pure pigment—one without tint or shade (added white or black pigment, respectively)."
9-16 July 2020,The Escapists 2,2020,https://www.igromania.ru/news/95567/V_Epic_Games_Store_razdayut_srazu_tri_igry_vklyuchaya_Killing_Floor_2.html,https://en.wikipedia.org/wiki/The_Escapists_2,,Team17,"Linux, macOS, PlayStation 4, Windows, Xbox One22 August 2017Nintendo Switch11 January 2018iOS, Android31 January 2019",,Unity,,,,,James Witcomb,,,,"The Escapists 2 is a strategy role-playing video game developed by Mouldy Toof Studios  and published by Team17. It is the sequel to The Escapists (2015) and it was released worldwide for Linux, macOS, PlayStation 4, Windows, and Xbox One in August 2017. Nintendo Switch and mobile phones versions were released in 2018 and 2019, both iOS and Android respectively.",
16-23 July 2020,Torchlight II,2020,https://www.igromania.ru/news/95806/Epic_Games_Store_zabirayte_Torchlight_II_i_gotovtes_k_Next_Up_Hero_i_Tacoma.html,https://en.wikipedia.org/wiki/Torchlight_II,Runic Games,Runic Games,"September 20, 2012, WindowsSeptember 20, 2012OS XFebruary 2, 2015LinuxMarch 4, 2015Nintendo Switch, PlayStation 4, Xbox OneSeptember 3, 2019",,OGRE,,,Matt Uelmen,,Travis Baldree,,,,"Torchlight II is an action role-playing dungeon crawler video game developed by Runic Games, released for Microsoft Windows on September 20, 2012. It is the sequel to Torchlight, and features peer-to-peer multiplayer support and extended modding capabilities. The game was released for OS X on February 2, 2015, and for Linux on March 4, 2015. Ports for Nintendo Switch, PlayStation 4, and Xbox One were released September 3, 2019 and were developed by Panic Button.","Torchlight II takes place in a fantasy world where the player character can be any of four classes, each with different skills and abilities. The plot starts with the destruction of the town of Torchlight, at the hands of the Alchemist from the first game, and has the character following the trail of destruction left in the Alchemist's wake as he searches for a cure to his illness which has driven him insane. The sequel to the first game was originally going to be an MMORPG however Torchlight II was released with both single-player and multi-player support, as the company felt they could release this much faster than the planned MMO. The game received mostly positive reviews from critics. A sequel, Torchlight III, was released in 2020."
23-30 July 2020,Tacoma,2020,https://dtf.ru/sale/176252-v-epic-games-store-nachalas-letnyaya-rasprodazha,https://en.wikipedia.org/wiki/Tacoma,,,,,,,,,,,,,,Tacoma commonly refers to:,Tacoma may also refer to:
30 July - 6 August 2020,20XX,2020,https://www.igromania.ru/news/96235/V_Epic_Games_Store_razdayut_srazu_tri_igry_vklyuchaya_Superbrothers_Sword_and_Sworcery.html,https://en.wikipedia.org/wiki/20XX,,Batterystaple Games,"WindowsOctober 12, 2016 (Early access)August 16, 2017 (full)PS4, SwitchJuly 10, 2018Xbox OneJuly 11, 2018",Platform,,Chris King,Zach Urtes,Brandon Ellis,,,,,,"20XX is a platform game developed by American studio Batterystaple Games. The early access version was released for Microsoft Windows on Steam on October 12, 2016, and in full on August 16, 2017. PlayStation 4, Nintendo Switch, and Xbox One versions were released in July 2018.  A sequel, 30XX, was released on Steam Early Access on February 17, 2021, and in full on August 9, 2023.",
6-13 August 2020,3 out of 10 Episode 1,2020,https://3dnews.ru/1017630/3-out-of-10-i-wilmots-warehouse-stali-besplatni-v-epic-games-store-do-13-avgusta/,,,,,,,,,,,,,,,,
13 August 2020,Total War Saga: Troy,2020,https://www.igromania.ru/news/94330/Total_War_Troy_vyydet_13_avgusta_i_budet_besplatnoy_v_Epic_Games_Store.html,https://en.wikipedia.org/wiki/Total_War_Saga%3A_Troy,Creative Assembly Sofia,Sega,13 August 2020,,,Maya Georgieva,,,,,,,,"Total War Saga: Troy is a 2020 turn-based strategy video game developed by Creative Assembly Sofia and published by Sega. The game was released for Windows and MacOS on 13 August 2020 as the second installment in the Total War Saga subseries, succeeding Thrones of Britannia (2018). The game received generally positive reviews upon release.",
13-20 August 2020,"The Alto Collection
Alto’s Adventure
Alto’s Odyssey",2020,https://dtf.ru/sale/188564-v-epic-games-store-nachalas-razdacha-remnant-from-the-ashes-i-the-alto-collection,https://en.wikipedia.org/wiki/The_Alto_Collection,Team Alto,,"February 21, 2018, iOS, tvOSFebruary 21, 2018Android July 25, 2018MacOS February 19, 2020Windows, PS4, Xbox OneAugust 13, 2020Nintendo SwitchNovember 26, 2020",,Unity,Ryan Cash,Harry Nesbitt,,,,,,Single Player,,
20-27 August 2020,Enter the Gungeon,2020,https://www.igromania.ru/news/96941/V_Epic_Games_Store_nachalas_razdacha_Enter_the_Gungeon_i_God%27s_Trigger.html,https://en.wikipedia.org/wiki/Enter_the_Gungeon,Dodge Roll,Devolver Digital,"Linux, macOS, PS4, WindowsApril 5, 2016Xbox OneApril 5, 2017SwitchDecember 14, 2017StadiaDecember 22, 2020Android, iOSAugust 2025",,Unity,,Joe Harty,Doseone,,Dave Crooks,,,,,
27 August - 3 September 2020,Hitman,2020,https://dtf.ru/sale/195782-v-epic-games-store-nachalas-razdacha-hitman-i-shadowrun-collection,https://en.wikipedia.org/wiki/Hitman,,,,,,,,,,,,,,,
3-10 September 2020,Into the Breach,2020,https://dtf.ru/sale/203714-v-epic-games-store-nachalas-razdacha-into-the-breach,https://en.wikipedia.org/wiki/Into_the_Breach,Subset Games,,"Microsoft WindowsFebruary 27, 2018macOSAugust 9, 2018Nintendo SwitchAugust 28, 2018LinuxApril 20, 2020StadiaDecember 1, 2020iOS, AndroidJuly 19, 2022",Turn-based strategy,,,,Ben Prunty,,,Chris Avellone,,Single-player,"Into the Breach is a turn-based strategy video game developed and published by indie studio Subset Games, consisting of Jay Ma and Matthew Davis. Into the Breach is their second game, following FTL: Faster Than Light. It features writing by Chris Avellone and music composed by Ben Prunty. It was released for Microsoft Windows in February 2018, for macOS and Nintendo Switch in August 2018, and for Linux in April 2020. A version for iOS and Android mobile devices was published by Netflix in July 2022.",
10-17 September 2020,Railway Empire,2020,https://www.igromania.ru/news/97708/V_Epic_Games_Store_nachalas_razdacha_Railway_Empire_i_Where_The_Water_Tastes_Like_Wine.html,https://en.wikipedia.org/wiki/Railway_Empire,Gaming Minds Studios,Kalypso Media,"Windows, Linux, PS4, Xbox OneEU: January 26, 2018NA: January 30, 2018Nintendo SwitchJP: February 14, 2020WW: June 19, 2020",Construction and management simulation,,,,,,,,,Single-player,"Railway Empire is a railroad construction and management simulation game developed by Gaming Minds Studio and published by Kalypso Media. It was announced in early 2017 and released on 26 January 2018 for Linux and Microsoft Windows, 30 January 2018 for PlayStation 4 and Xbox One, and 14 February 2020 for Nintendo Switch. In Japan, the physical copy of the game was distributed by Ubisoft in May 2018. A sequel, Railway Empire 2, was released in 2023.",
17-24 September 2020,Football Manager 2020,2020,https://www.igromania.ru/news/97975/Razdacha_v_Epic_Games_Store_Watch_Dogs_2_Football_Manager_2020_i_Stick_it_to_The_Man!.html,https://en.wikipedia.org/wiki/Football_Manager_2020,Sports Interactive,Sega,Microsoft Windows18 November 2019Google Stadia19 November 2019Nintendo Switch10 December 2019,Sports management,,,,,,,,,,Football Manager 2020 is a football management simulation video game and the seventeenth instalment in the Football Manager series developed by Sports Interactive and published by Sega. It was released worldwide on 18 November 2019.,
24 September - 1 October 2020,RollerCoaster Tycoon 3 Complete Edition,2020,https://www.igromania.ru/news/98200/V_Epic_Games_Store_mozhno_besplatno_zabrat_RollerCoaster_Tycoon_3_Complete_Edition.html,,,,,,,,,,,,,,,,
1-8 October 2020,Pikuniku,2020,https://riotpixels.com/besplatnaya-pikuniku-v-epic-store/,https://en.wikipedia.org/wiki/Pikuniku,Sectordub,Devolver Digital,"Linux, macOS, Windows, SwitchJanuary 24, 2019Xbox OneMarch 12, 2020StadiaFebruary 9, 2021Android, iOSApril 7, 2026",,Unity,,Arnaud De Bock,Calum Bowen,,Arnaud De Bock,Rémi Forcadell,,,"Pikuniku is an adventure video game developed by French-British indie collective Sectordub and published by Devolver Digital. It was released on January 24, 2019 for Linux, macOS, Nintendo Switch and Microsoft Windows, and was later released on March 12, 2020 for Xbox One and on February 9, 2021 for Stadia. The game won numerous accolades from 2018 to 2020 including the 2020 Best International Indie Game award at the Pégases Awards.","The game has the player control the titular red creature, Piku, through a colorful world to work to putting an end to a plot to harvest the entirety of the land's resources, and saving the creatures of the island."
8-15 October 2020,Abzû,2020,https://dtf.ru/sale/227741-v-epic-games-store-nachalas-razdacha-abzu-i-rising-storm-2-vietnam,https://en.wikipedia.org/wiki/Abz%C3%BB,Giant Squid,505 Games,"PlayStation 4, WindowsAugust 2, 2016Xbox OneDecember 6, 2016Nintendo SwitchNovember 29, 2018Amazon LunaOctober 20, 2020",,Unreal Engine 4,Matt Nava,Matt Nava,Austin Wintory,,,,Brian Balamut,Single-player,,
15-22 October 2020,Amnesia: A Machine for Pigs,2020,https://www.igromania.ru/news/98889/Cherez_nedelyu_v_Epic_Games_Store_budut_otdavat_Layers_of_Fear_2_i_Costume_Quest_2.html,https://en.wikipedia.org/wiki/Amnesia%3A_A_Machine_for_Pigs,The Chinese Room,Frictional Games,"10 September 2013, Windows, OS X, Linux10 September 2013PlayStation 422 November 2016Xbox One28 September 2018Switch19 September 2019",Survival horror,HPL Engine 2,,,Jessica Curry,,,Dan Pinchbeck,,Single-player,"Amnesia: A Machine for Pigs is a 2013 survival horror game developed by The Chinese Room and published by Frictional Games. Originally meant to be a mod, the game is an indirect sequel to Amnesia: The Dark Descent (2010), which was both developed and published by Frictional Games. While set in the same universe as the previous game, it features a new cast of characters and time setting.","Amnesia: A Machine for Pigs was released for Windows on 10 September 2013. The game was released for PlayStation 4 on 22 November 2016 as part of the Amnesia Collection, including Amnesia: The Dark Descent and its Amnesia: Justine expansion. It received mixed reviews from critics."
22-29 October 2020,Costume Quest 2,2020,https://www.igromania.ru/news/99103/V_magazine_Epic_Games_besplatno_otdayut_Costume_Quest_2_i_Layers_of_Fear_2.html,https://en.wikipedia.org/wiki/Costume_Quest_2,Double Fine Productions,,"Linux, OS X, WindowsOctober 7, 2014PS3, PS4, Wii U, Xbox 360, Xbox OneOctober 31, 2014",Role-playing,,Gabe Miller,Freddie Lee,Peter McConnell,,,Gabe Miller,Ben Burbank,Single-player,"Costume Quest 2 is a 2014 role-playing video game developed by Double Fine Productions and published by Midnight City. The sequel to Costume Quest (2010), Costume Quest 2 allows players to assume the identity of one of the two twin siblings, Wren or Reynold. Together with their friends, the group travels through the various in-game environments collecting candy and various costumes, in an attempt to thwart the plans of Dr. Orel White, who wishes to see Halloween banished forever. The game has an improved battle system and a time travel-based plotline. The downloadable-only title has been released on Linux, OS X, Windows, PlayStation 3, PlayStation 4, Wii U, Xbox 360, and Xbox One.",
29 October - 5 November 2020,Blair Witch,2020,https://www.igromania.ru/news/99339/V_Epic_Games_Store_besplatno_otdayut_Blair_Witch_i_Ghostbusters_The_Video_Game.html,https://en.wikipedia.org/wiki/Blair_Witch,,,,,,,,,,,,,,"Blair Witch is an American horror media franchise created by Daniel Myrick and Eduardo Sánchez, distributed by Artisan Entertainment (now Lionsgate) and produced by Haxan Films that consists of three feature films and various additional media. The development of the franchise's first installment, The Blair Witch Project, started in 1993. Myrick and Sánchez wrote a 35-page outline of a story with the dialogue to be improvised. Filming began in 1997 and lasted eight days. The film follows the disappearance of three student filmmakers in the woods near Burkittsville, Maryland, while shooting a documentary on the local legend known as the ""Blair Witch"".","After premiering at the 1999 Sundance Film Festival, the film was released on July 30, 1999, after months of publicity during a controversial promotional campaign. The film went on to be a massive commercial success, and a sequel, Book of Shadows: Blair Witch 2, was released on October 27, 2000. A third installment, Blair Witch, was released on September 16, 2016. Series of video games, books, novels and comic books were released to accompany the films. A ""reimagining"" of The Blair Witch Project was announced in April 2024 as a collaboration between Lionsgate and Blumhouse."
5-12 November 2020,Dungeons 3,2020,https://www.igromania.ru/news/99526/V_Epic_Games_Store_besplatno_otdayut_Dungeons_3.html,https://en.wikipedia.org/wiki/Dungeons_3,Realmforge Studios,Kalypso Media,"Linux, macOS, Windows, PlayStation 4, Xbox OneOctober 13, 2017Nintendo SwitchSeptember 15, 2022",,,Christian Wolfertstetter,,Michael Rother,,Sebastian Nussbaumer,,,,,
12-19 November 2020,The Textorcist: The Story of Ray Bibbia,2020,https://dtf.ru/sale/255921-19-noyabrya-v-epic-games-store-nachnetsya-razdacha-elite-dangerous-i-the-world-next-door,https://en.wikipedia.org/wiki/The_Textorcist%3A_The_Story_of_Ray_Bibbia,Morbidware,Headup Games,"February 14, 2019",,,,,,,,Matteo Corradini,Diego Sacchetti,Single-player,"The Textorcist: The Story of Ray Bibbia is a hybrid bullet hell and typing video game developed by Italian studio Morbidware and published by Headup Games. It was released on February 14, 2019, for Windows on the Steam client. The game revolves around an ex-priest who is also a freelance exorcist. The game received mostly positive reviews, praising its music, theme and graphics.",
