daterange_wiki,title_wiki,year_wiki,source_wiki,link_wiki,developer_wiki,publisher_wiki,releasedate_wiki,genre_wiki,engine_wiki,director_wiki,artist_wiki,composer_wiki,platform_wiki,designer_wiki,writer_wiki,programmer_wiki,mode_wiki,summary_wiki,background_wiki
20-27 February 2025,World War Z: Aftermath,2025,https://www.igromania.ru/news/147905/zombi-boevik-world-war-z-aftermath-avtorov-space-marine-2-stali-besplatno-otdavat-v-egs/,https://en.wikipedia.org/wiki/World_War_Z%3A_Aftermath,Saber Interactive,Saber Interactive,"Windows, PS4, Xbox One16 April 2019Nintendo Switch2 November 2021Google Stadia  5 April 2022 PS5, Xbox Series X/S24 January 2023",,Swarm Engine,Dmitriy Grigorenko,Petr Kudryashov,Steve Molitz,,,,,,"World War Z is a third-person shooter video game developed and published by Saber Interactive. It was released for Microsoft Windows, PlayStation 4 and Xbox One on 16 April 2019, and a Nintendo Switch version was released on 2 November 2021. It was released for Google Stadia on 5 April 2022. Ports for PlayStation 5 and Xbox Series X/S released on 24 January 2023. Loosely based on the 2006 novel World War Z and set in the same universe as the 2013 film adaptation, the game follows groups of four survivors of a zombie apocalypse.",
27 February - 6 March 2025,Mages of Mystralia,2025,https://www.igromania.ru/news/148178/v-egs-startovala-besplatnaya-razdacha-mages-of-mystralia/,https://en.wikipedia.org/wiki/Mages_of_Mystralia,Borealys Games,Borealys Games,"Microsoft WindowsMay 18, 2017PlayStation 4August 22, 2017Xbox OneAugust 25, 2017Nintendo SwitchJanuary 29, 2019",Action-adventure,,,,Antoine Vachon,,,Ed Greenwood,,Single-player,"Mages of Mystralia is an action-adventure video game by Borealys Games. It was released for Microsoft Windows, PlayStation 4, and Xbox One in 2017, and for the Nintendo Switch in 2019.",
6-13 March 2025,Them’s Fightin’ Herds,2025,https://dtf.ru/games/3618563-v-epic-games-store-nachalas-razdacha-thems-fightin-herds-dvuhmernogo-faitinga-so-zvermi,https://en.wikipedia.org/wiki/Them%E2%80%99s_Fightin%E2%80%99_Herds,Mane6,,"WindowsApril 30, 2020LinuxMarch 25, 2021macOSOctober 27, 2021Switch, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/SOctober 18, 2022",Fighting,,,,,,,,,,,
13-20 March 2025,Mortal Shell,2025,https://www.igromania.ru/news/148704/v-epic-games-store-stali-besplatno-otdavat-ekshen-mortal-shell-v-duhe-dark-souls/,https://en.wikipedia.org/wiki/Mortal_Shell,Cold Symmetry,Playstack,"Windows, PS4, Xbox One18 August 2020Enhanced EditionPS5, Xbox Series X/S4 March 2021Luna18 November 2021Complete EditionNintendo Switch19 December 2022",Action role-playing,Unreal Engine 4,,,Simon Heath,,,Ryan Schapals,,Single-player,"Mortal Shell is an action role-playing video game developed by Cold Symmetry and published by Playstack. The game was released on 18 August 2020, for PlayStation 4, Xbox One and Microsoft Windows.","A remastered version titled Mortal Shell: Enhanced Edition was released on 4 March 2021 for PlayStation 5 and Xbox Series X/S, and on 18 November 2021 for Amazon Luna. A port for Nintendo Switch with all the DLC included titled Complete Edition was released on 19 December 2022.

Mortal Shell received positive to mixed reviews from critics and has sold one million units as of September 2023. A sequel, Mortal Shell II, is currently in development and set to release in 2026."
20-27 March 2025,Jurassic World Evolution 2,2025,https://ixbt.games/news/2025/03/20/v-egs-besplatno-razdayut-jurassic-world-evolution-2-anonsirovali-dve-tainye-razdaci.html,https://en.wikipedia.org/wiki/Jurassic_World_Evolution_2,Frontier Developments,Frontier Developments,"November 9, 2021",Construction and management simulation,,Rich Newbold,,Joanna Pena,,James Stimpson,,,Single-player,"Jurassic World Evolution 2 is a construction and management simulation video game developed and published by Frontier Developments. A sequel to Jurassic World Evolution (2018) and set between Jurassic World: Fallen Kingdom and Jurassic World Dominion, the game was released for PlayStation 4, PlayStation 5, Windows, Xbox One, and Xbox Series X and Series S on November 9, 2021. It received generally favorable reviews from critics, who deemed it an improvement over its predecessor. A sequel, Jurassic World Evolution 3, was released on October 21, 2025.",
27 March - 3 April 2025,Cat Quest,2025,https://kanobu.ru/news/egs-nachal-razdachu-cat-quest-i-neko-ghost-jump-498652/,https://en.wikipedia.org/wiki/Cat_Quest,The Gentlebros,PQube,"macOS, WindowsWW: 8 August 2017iOSWW: 10 August 2017AndroidWW: 15 September 2017Nintendo SwitchWW: 10 November 2017PlayStation 4EU/AU: 10 November 2017NA: 14 November 2017AS: 24 November 2017",Action role-playing,Unity,,,,,,,,Single-player,Cat Quest is an action role-playing game developed by The Gentlebros and published by PQube. It was released in 2017 and received generally positive reviews from critics.,
3-10 April 2025,Cat Quest II,2025,https://dtf.ru/games/3680135-razdacha-cat-quest-ii-v-egs,https://en.wikipedia.org/wiki/Cat_Quest_II,The Gentlebros,PQube,"iOS, macOSSeptember 19, 2019PS4, Windows, Xbox OneSeptember 24, 2019Switch October 24, 2019",Action role-playing,,,,,,,,,,"Cat Quest II (sometimes stylized as Cat Quest II: The Lupus Empire) is a 2019 action role-playing game developed by The Gentlebros and published by PQube. A sequel to Cat Quest (2017), It was released on September 19, 2019, for iOS and macOS as a launch title for Apple Arcade, September 24, 2019 for PlayStation 4, Windows, and Xbox One, and for Nintendo Switch on October 24, 2019. In the game, players take control of a cat king and a dog king as they work together towards reclaiming their kingdoms from tyranny. The game received generally positive reviews on release.",
10-17 April 2025,River City Girls,2025,https://www.goha.ru/zabiraem-v-egs-boevik-river-city-girls-astariona-v-idle-champions-i-valyutu-v-shutere-arcadgeddon-doK29A,https://en.wikipedia.org/wiki/River_City_Girls,WayForward,WayForwardJP: Arc System WorksCrunchyroll Games (mobile),"September 5, 2019Amazon LunaOctober 20, 2020PlayStation 5WW: January 20, 2022JP: June 23, 2022Android, iOSNovember 7, 2023",Beat 'em up,Unity,,,,,Nick Garcia,,James Guintu,,"River City Girls is a 2019 beat 'em up video game developed and published worldwide by WayForward and published in Japan by Arc System Works. A spin-off in the Kunio-kun franchise, the game stars Misako and Kyoko who fight their way through enemies and obstacles to rescue their kidnapped boyfriends, series protagonists Kunio and Riki. The game was released for the Nintendo Switch, PlayStation 4, Windows, and Xbox One in September 2019, and for Amazon Luna in October 2020. A PlayStation 5 version was released on January 18, 2022.","Shin Nekketsu Kōha: Kunio-tachi no Banka (1994), where Misako and Kyoko previously appeared, was localized by WayForward as a prequel, River City Girls Zero, being released for the Nintendo Switch on February 14, 2022 and September 21 on other platforms. A sequel, titled River City Girls 2, was released by WayForward and Arc System Works that same year in December for Japan, Asia and the US."
17-24 April 2025,Botanicula,2025,https://www.igromania.ru/news/149953/v-epic-games-store-nachalas-besplatnaya-razdacha-rasslablyayuschej-golovolomki-botanicula/,https://en.wikipedia.org/wiki/Botanicula,Amanita Design,,"Linux, Mac OS X, Windows19 April 2012iOS1 May 2014",Graphic adventure game,Adobe Flash,,,DVA,,Jaromír Plachý,,,Single-player,"Botanicula is a point-and-click adventure game developed by Amanita Design. The game was released on 19 April 2012, for Microsoft Windows, Mac OS X and Linux. The game was later ported to iOS and Android.",
24 April - 1 May 2025,Chuchel,2025,https://www.igromania.ru/news/150174/zabavnoe-priklyuchenie-chuchel-nachali-besplatno-otdavat-v-epic-games-store/,https://en.wikipedia.org/wiki/Chuchel,Amanita Design,,"macOS, Windows7 March 2018Android, iOS29 November 2018",Graphic adventure,Adobe Flash,,,DVA,,Jaromír Plachý,,,Single-player,Chuchel (Czech pronunciation: ) is a 2018 video game developed by Amanita Design.,
