FROM,TO,DAY,DAYS,TYPE,Title,NOTES,COLOR_CATEGORY,daterange_wiki,title_wiki,year_wiki,ru_link_wiki,source_wiki,link_wiki,developer_wiki,publisher_wiki,releasedate_wiki,genre_wiki,engine_wiki,director_wiki,artist_wiki,composer_wiki,platform_wiki,designer_wiki,writer_wiki,programmer_wiki,mode_wiki,summary_wiki,background_wiki
2026-01-08 00:00:00,2026-01-15 00:00:00,Thursday,7,dupe,Bloons TD 6,,FFD0E0E3,3-10 August 2023,Bloons TD 6,2023.0,https://ru.wikipedia.org/wiki/Bloons_TD_6?action=edit&redlink=1,https://dtf.ru/sale/2006555-v-epic-games-store-startovala-razdacha-roglayta-loop-hero-ot-rossiyskih-razrabotchikov,https://en.wikipedia.org/wiki/Bloons_TD_6,Ninja Kiwi,"Ninja Kiwi, [, a, ]","Android, iOS, June 13, 2018, Windows, December 17, 2018, macOS, March 13, 2020, Apple Arcade, February 11, 2022, Xbox One, September 5, 2023, visionOS, February 2, 2024, PlayStation 4, July 31, 2024",Tower defense,"Unity, [, 1, ]",,,,,,,,,"Bloons TD 6 is a 2018 tower defense game developed and published by Ninja Kiwi and created in Unity . In Bloons TD 6 , various monkeys are placed around the map to defend against ""Bloons"" that are travelling towards the exit. Being the sixth and latest entry in the Bloons Tower Defense series, it first released on June 13, 2018, for iOS and Android . It was later released on Microsoft Windows in December 2018, and macOS in March 2020 via Steam and later on Apple Arcade . It was later released on the Epic Games Store on June 19, 2022. In February 2022, Bloons TD 6+ was released for Apple Arcade . On June 12, 2023, Bloons TD 6 Netflix was released on iOS and Android for Netflix members only. Bloons TD 6 was released for the Apple Vision Pro on February 2, 2024. Bloons TD 6 has releases for consoles, starting with Xbox One on September 5, 2023, and on July 31, 2024, on PlayStation 4 .",
2026-01-08 00:00:00,2026-01-15 00:00:00,Thursday,7,dupe,Bloons TD 6,,FFD0E0E3,8-15 January 2026,Bloons TD 6,2026.0,https://ru.wikipedia.org/wiki/Bloons_TD_6?action=edit&redlink=1,https://vgtimes.ru/news/143856-halyava-raskryty-sleduyuschie-besplatnye-igry-v-egs.-nachalas-razdacha-bloons-td-6.html,https://en.wikipedia.org/wiki/Bloons_TD_6,Ninja Kiwi,"Ninja Kiwi, [, a, ]","Android, iOS, June 13, 2018, Windows, December 17, 2018, macOS, March 13, 2020, Apple Arcade, February 11, 2022, Xbox One, September 5, 2023, visionOS, February 2, 2024, PlayStation 4, July 31, 2024",Tower defense,"Unity, [, 1, ]",,,,,,,,,"Bloons TD 6 is a 2018 tower defense game developed and published by Ninja Kiwi and created in Unity . In Bloons TD 6 , various monkeys are placed around the map to defend against ""Bloons"" that are travelling towards the exit. Being the sixth and latest entry in the Bloons Tower Defense series, it first released on June 13, 2018, for iOS and Android . It was later released on Microsoft Windows in December 2018, and macOS in March 2020 via Steam and later on Apple Arcade . It was later released on the Epic Games Store on June 19, 2022. In February 2022, Bloons TD 6+ was released for Apple Arcade . On June 12, 2023, Bloons TD 6 Netflix was released on iOS and Android for Netflix members only. Bloons TD 6 was released for the Apple Vision Pro on February 2, 2024. Bloons TD 6 has releases for consoles, starting with Xbox One on September 5, 2023, and on July 31, 2024, on PlayStation 4 .",
2026-01-01 00:00:00,2026-01-08 00:00:00,Thursday,7,mobile,Skul: The Hero Slayer,,FFF4CCCC,,,,,,,,,,,,,,,,,,,,,
2026-01-01 00:00:00,2026-01-08 00:00:00,Thursday,7,,Total War: THREE KINGDOMS,,FFB6D7A8,1-8 January 2026,Total War: Three Kingdoms,2026.0,https://ru.wikipedia.org/wiki/Total_War:_Three_Kingdoms,https://ixbt.games/news/2026/01/01/v-egs-nacalas-razdaca-kosmiceskogo-tarkova-i-globalnoi-strategii-total-war-three-kingdoms.html,https://en.wikipedia.org/wiki/Total_War%3A_Three_Kingdoms,Creative Assembly,Sega,"May 23, 2019",,,Janos Gaspar,Pawel Wojs,Richard Beddow,,Attila Mohacsi,,Chris Budd,,"Total War: Three Kingdoms is a turn-based strategy real-time tactics video game developed by Creative Assembly and published by Sega . As the 12th mainline entry (the 13th entry) in the Total War series, the game was released for Windows on May 23, 2019. Feral Interactive released a Linux and macOS version of the game on the same day.",
2026-01-01 00:00:00,2026-01-08 00:00:00,Thursday,7,,Wildgate: Standard Edition,,FFB6D7A8,,,,,,,,,,,,,,,,,,,,,
2025-12-31 00:00:00,2026-01-01 00:00:00,Wednesday,1,dupe,Chivalry 2,,FFB6D7A8,30 May - 6 June 2024,Chivalry 2,2024.0,https://ru.wikipedia.org/wiki/Chivalry_2,https://3dnews.ru/1105690/v-epic-games-store-startovala-razdacha-chivalry-2-razrabotchiki-ustroili-nedelyu-dvojnogo-opyta-igra-dostupna-v-rossii,https://en.wikipedia.org/wiki/Chivalry_2,Torn Banner Studios,Tripwire Interactive,"June 8, 2021",Hack and slash,Unreal Engine 4,,,,,,,,Multiplayer,"Chivalry 2 is a 2021 multiplayer hack and slash action video game developed by Torn Banner Studios and published by Tripwire Interactive . The sequel to Chivalry: Medieval Warfare (2012), the game was released on June 8, 2021, for Windows , PlayStation 4 , PlayStation 5 , Xbox One and Xbox Series X and Series S .",
2025-12-31 00:00:00,2026-01-01 00:00:00,Wednesday,1,dupe,Chivalry 2,,FFB6D7A8,31 December 2025,Chivalry 2,2025.0,https://ru.wikipedia.org/wiki/Chivalry_2,https://dtf.ru/games/4578650-chivalry-2-besplatnaya-razdacha-v-epic-games-store,https://en.wikipedia.org/wiki/Chivalry_2,Torn Banner Studios,Tripwire Interactive,"June 8, 2021",Hack and slash,Unreal Engine 4,,,,,,,,Multiplayer,"Chivalry 2 is a 2021 multiplayer hack and slash action video game developed by Torn Banner Studios and published by Tripwire Interactive . The sequel to Chivalry: Medieval Warfare (2012), the game was released on June 8, 2021, for Windows , PlayStation 4 , PlayStation 5 , Xbox One and Xbox Series X and Series S .",
2025-12-30 00:00:00,2025-12-31 00:00:00,Tuesday,1,,Trine (Enchanted Edition),Part of collection: Trine Classic Collection,FFB6D7A8,,,,,,,,,,,,,,,,,,,,,
2025-12-30 00:00:00,2025-12-31 00:00:00,Tuesday,1,,Trine 2: Complete Story,Part of collection: Trine Classic Collection,FFB6D7A8,,,,,,,,,,,,,,,,,,,,,
2025-12-30 00:00:00,2025-12-31 00:00:00,Tuesday,1,,Trine 3: The Artifacts of Power,Part of collection: Trine Classic Collection,FFB6D7A8,30 December 2025,Trine 3: The Artifacts of Power,2025.0,https://ru.wikipedia.org/wiki/Trine,https://dtf.ru/games/4572572-razdacha-trine-classic-collection-v-epic-game-store,https://en.wikipedia.org/wiki/Trine_3%3A_The_Artifacts_of_Power,Frozenbyte,Frozenbyte,"Windows, August 20, 2015, Linux, November 5, 2015, OS X, November 19, 2015, PlayStation 4, December 22, 2015, Nintendo Switch, July 29, 2019",,,Lauri Hyvärinen,Teemu Lintunen,Ari Pulkkinen,,Kim Juntunen,Maija Koivula,Jani Mäkinen,,"Trine 3: The Artifacts of Power is a 2015 action-adventure puzzle-platform video game developed by Frozenbyte , released on August 20, 2015 for Microsoft Windows . It was made available on Linux , OS X and PlayStation 4 later in 2015. It is the sequel to Trine 2 and features a return of the series' three protagonists and medieval fantasy location. The game is the first in the series to feature fully 3D gameplay. A port to the Nintendo Switch was released in 2019.","A sequel, Trine 4: The Nightmare Prince , was released in 2019 to critical acclaim."
