,,,,,Figment 2: Creed Valley,
,,,,,Sky Racket,
2025-07-03,2025-07-10,Thursday,7,mobile,Figment,
,,,,,Backpack Hero,
,,,,dupe,Figment,
2025-06-26,2025-07-03,Thursday,7,mobile,Cultist Simulator,
,,,,dupe,Sable,
2025-06-19,2025-06-26,Thursday,7,mobile,Doodle God: Infinite Alchemy Merge,
,,,,,The Operator,
2025-06-12,2025-06-19,Thursday,7,mobile,shapez,
,,,,pack3,DC Heroes United’s - Super Power Batman Bundle DLC,"In-game content, log into game to get"
,,,,,Two Point Hospital,
2025-06-05,2025-06-12,Thursday,7,mobile,Ogu and the Secret Forest,
,,,,,Deathloop,
,,,,,Ogu and the Secret Forest,
2025-06-03,2025-09-01,Tuesday,90,pack2,Hell Let Loose - Summer Warfare Pack,"Requires base game (payable): Hell Let Loose, already gifted"
2025-05-29,2025-06-05,Thursday,7,mobile,LIMBO,
,,,,dupe,LIMBO,
,,,,,Tiny Tina's Wonderlands,
2025-05-22,2025-05-29,Thursday,7,mobile,Gigapocalypse,
,,,,,Deliver At All Cost,
,,,,,Gigapocalypse,
,,,,dupe,Sifu,
2025-05-16,2025-06-12,Friday,27,pack2,Fortnite -- Frosted Skyline Pack,
2025-05-15,2025-05-22,Thursday,7,mobile,Happy Game,
,,,,,Dead Island 2,
,,,,,Happy Game,
2025-05-15,2025-06-12,Thursday,28,pack2,Asphalt Legends UNITE: Triple Decal Pack,Epic Games MEGA Sale Cosmetic Offer
,,,,pack2,Disney Speedstorm - Monochromatic Pack - Racer Ariel,
,,,,pack2,Fall Guys - Digi Costume,
,,,,pack2,Infinity Nikki MEGA Sale Bundle,
,,,,pack2,Neverwinter - Epic Starter Pack,
,,,,pack2,RAWMEN Sakura Gusoku Cosmetic Set,
,,,,pack2,Rocket League® - TriTrim Wheels,
,,,,pack2,SMITE 2 Thanatoasty Bundle,
,,,,pack2,Star Trek Online - Epic Starter Pack Bundle,
,,,,pack2,World of Warships — Courbet Epic Plunder Pack,
,,,,pack2,World of Warships x Azur Lane — Quest for AL Avrora,
,,,,pack2,Wuthering Waves Giveaway,
