FROM,TO,DAY,DAYS,TYPE,Title_gsheets,NOTES,COLOR_CATEGORY,Date,Title_wiki,Year,Game Wiki Link,Source Links,Original_Title,HLTB_Found,HLTB_Game_Name,HLTB_Main_Story,HLTB_Main_Extra,HLTB_Completionist,HLTB_All_Styles,HLTB_Review_Score,HLTB_Platforms,HLTB_Release_World,HLTB_Similarity,HLTB_Match_Score,HLTB_Query_Used
2026-02-19 00:00:00,2026-02-26 00:00:00,Thursday,7,,Return to Ash,,FFD0E0E3,19-26 February 2026,Return To Ash,2026.0,https://ru.wikipedia.org/w/index.php?title=Return_To_Ash&action=edit&redlink=1,https://www.igromania.ru/news/163679/v-epic-games-store-stali-besplatno-otdavat-novellu-return-to-ash-i-podarki-v-stalcraft-x/,Return to Ash,True,Return to Ash,1.16,1.9,3.42,1.91,65.0,"Linux, Mac, PC",2025.0,1.0,1.0,Return to Ash
2026-02-19 00:00:00,2026-02-26 00:00:00,Thursday,7,,STALCRAFT: X Edition Starter,,FFD0E0E3,,,,,,STALCRAFT: X Edition Starter,False,,,,,,,,,,,
2026-02-12 00:00:00,2026-02-19 00:00:00,Thursday,7,mobile,The Darkside Detective: A Fumble in the Dark,,FFF4CCCC,,,,,,The Darkside Detective: A Fumble in the Dark,True,The Darkside Detective: A Fumble in the Dark,7.85,10.78,11.02,9.64,77.0,"Google Stadia, Linux, Mac, Nintendo Switch, PC, PlayStation 5, Xbox One",2021.0,1.0,1.0,The Darkside Detective: A Fumble in the Dark
2026-02-12 00:00:00,2026-02-19 00:00:00,Thursday,7,,Nobody Wants to Die,,FFD0E0E3,,,,,,Nobody Wants to Die,True,Nobody Wants to Die,5.78,6.6,8.21,6.24,73.0,"PC, PlayStation 5, Xbox Series X/S",2024.0,1.0,1.0,Nobody Wants to Die
2026-02-12 00:00:00,2026-02-19 00:00:00,Thursday,7,,The Darkside Detective: A Fumble in the Dark,,FFD0E0E3,,,,,,The Darkside Detective: A Fumble in the Dark,True,The Darkside Detective: A Fumble in the Dark,7.85,10.78,11.02,9.64,77.0,"Google Stadia, Linux, Mac, Nintendo Switch, PC, PlayStation 5, Xbox One",2021.0,1.0,1.0,The Darkside Detective: A Fumble in the Dark
2026-02-05 00:00:00,2026-02-12 00:00:00,Thursday,7,mobile,Botany Manor,,FFF4CCCC,5-12 February 2026,Botany Manor,2026.0,https://ru.wikipedia.org/w/index.php?title=Botany_Manor&action=edit&redlink=1,https://vgtimes.ru/news/146875-halyava-raskryty-sleduyuschie-besplatnye-igry-v-egs.-nachalas-razdacha-botany-manor-i-dlc-dlya-pixel-gun-3d.html,Botany Manor,True,Botany Manor,3.43,3.97,4.14,3.93,78.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2024.0,1.0,1.0,Botany Manor
2026-02-05 00:00:00,2026-02-12 00:00:00,Thursday,7,,Botany Manor,,FFD0E0E3,5-12 February 2026,Botany Manor,2026.0,https://ru.wikipedia.org/w/index.php?title=Botany_Manor&action=edit&redlink=1,https://vgtimes.ru/news/146875-halyava-raskryty-sleduyuschie-besplatnye-igry-v-egs.-nachalas-razdacha-botany-manor-i-dlc-dlya-pixel-gun-3d.html,Botany Manor,True,Botany Manor,3.43,3.97,4.14,3.93,78.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2024.0,1.0,1.0,Botany Manor
2026-02-05 00:00:00,2026-02-12 00:00:00,Thursday,7,,Poison Retro Set,Requires base game (free): Pixel Gun 3D,FFD0E0E3,,,,,,Poison Retro Set,False,,,,,,,,,,,
2026-01-29 00:00:00,2026-02-05 00:00:00,Thursday,7,mobile,Faily Brakes 2,,FFF4CCCC,,,,,,Faily Brakes 2,True,Faily Brakes 2,0.0,0.0,0.0,0.0,0.0,Mobile,2020.0,1.0,1.0,Faily Brakes 2
2026-01-29 00:00:00,2026-02-05 00:00:00,Thursday,7,,Definitely Not Fried Chicken,,FFD0E0E3,29 January - 5 February 2026,Definitely Not Fried Chicken,2026.0,https://ru.wikipedia.org/w/index.php?title=Definitely_Not_Fried_Chicken&action=edit&redlink=1,https://www.igromania.ru/news/162451/v-egs-stali-besplatno-otdavat-definitely-not-fried-chicken-simulyator-zapretnogo-biznesa/,Definitely Not Fried Chicken,True,Definitely Not Fried Chicken,0.0,0.0,24.92,24.92,65.0,PC,2023.0,1.0,1.0,Definitely Not Fried Chicken
2026-01-22 00:00:00,2026-01-29 00:00:00,Thursday,7,mobile,The Forest Quartet,,FFF4CCCC,,,,,,The Forest Quartet,True,The Forest Quartet,1.29,1.38,1.51,1.37,71.0,"Mobile, Nintendo Switch, PC, PlayStation 4, PlayStation 5",2022.0,1.0,1.0,The Forest Quartet
2026-01-22 00:00:00,2026-01-29 00:00:00,Thursday,7,,Rustler (Grand Theft Horse),,FFD0E0E3,,,,,,Rustler (Grand Theft Horse),False,,,,,,,,,,,
2026-01-15 00:00:00,2026-01-22 00:00:00,Thursday,7,mobile,Dumb Ways to Die,,FFF4CCCC,,,,,,Dumb Ways to Die,True,Dumb Ways to Die,0.96,0.0,8.78,4.87,59.0,Mobile,2013.0,1.0,1.0,Dumb Ways to Die
