Date,Title,Year,Game Wiki Link,Source Links
29 July - 5 August 2021,Mothergunship,2021,https://ru.wikipedia.org/wiki/Mothergunship?action=edit&redlink=1,https://www.igromania.ru/news/107231/Cherez_nedelyu_v_Epic_Games_Store_besplatno_otdadut_A_Plague_Tale_Innocence_iSpeed_Brawl.html
5-12 August 2021,A Plague Tale: Innocence,2021,https://ru.wikipedia.org/wiki/A_Plague_Tale:_Innocence,https://www.igromania.ru/news/107386/V_Epic_Games_Store_besplatno_otdayut_A_Plague_Tale_Innocence_i_Minit.html
12-19 August 2021,Rebel Galaxy,2021,https://ru.wikipedia.org/wiki/Rebel_Galaxy?action=edit&redlink=1,https://www.igromania.ru/news/107607/V_Epic_Games_Store_nachalas_razdacha_Rebel_Galaxy.html
19-26 August 2021,Void Bastards,2021,https://ru.wikipedia.org/wiki/Void_Bastards?action=edit&redlink=1,https://www.igromania.ru/news/107805/V_Epic_Games_Store_besplatno_razdayut_Yooka-Laylee_i_Void_Bastards.html
26 August - 2 September 2021,Automachef,2021,https://ru.wikipedia.org/wiki/Automachef?action=edit&redlink=1,"https://www.igromania.ru/news/108009/V_Epic_Games_Store_besplatno_otdayut_Saints_Row_The_ThirdRemastered.html, https://www.igromania.ru/news/108031/K_besplatnoy_razdache_remastera_Saints_Row_v_EGS_prisoedinilas_Automachef.html"
2-9 September 2021,Yoku’s Island Express,2021,https://ru.wikipedia.org/wiki/Yoku’s_Island_Express?action=edit&redlink=1,https://www.igromania.ru/news/108264/V_Epic_Games_Store_besplatno_otdayut_pinbol-priklyuchenie_Yoku%27s_Island_Express.html
9-16 September 2021,Sheltered,2021,https://ru.wikipedia.org/wiki/Sheltered_(игра),https://www.igromania.ru/news/108528/V_Epic_Games_Store_startovala_besplatnaya_razdacha_Sheltered_i_Nioh_The_Complete_Edition.html
16-23 September 2021,Speed Brawl,2021,https://ru.wikipedia.org/wiki/Speed_Brawl?action=edit&redlink=1,https://www.igromania.ru/news/108778/V_Epic_Games_Store_besplatno_otdayut_Speed_Brawl_i_Tharsis.html
23-30 September 2021,The Escapists,2021,https://ru.wikipedia.org/wiki/The_Escapists,https://www.igromania.ru/news/109006/Cherez_nedelyu_v_Epic_Games_Store_budut_otdavat_Europa_Universalis_IV.html
30 September - 7 October 2021,Europa Universalis IV,2021,https://ru.wikipedia.org/wiki/Europa_Universalis_IV,https://www.igromania.ru/news/109275/V_Epic_Games_Store_besplatno_otdayut_Europa_Universalis_IV.html
7-14 October 2021,PC Building Simulator,2021,https://ru.wikipedia.org/wiki/PC_Building_Simulator?action=edit&redlink=1,https://dtf.ru/sale/895251-v-epic-games-store-nachalas-razdacha-pc-building-simulator
14-21 October 2021,Stubbs the Zombie in Rebel Without a Pulse,2021,https://ru.wikipedia.org/wiki/Stubbs_the_Zombie_in_Rebel_Without_a_Pulse,https://dtf.ru/sale/904123-v-epic-games-store-nachalas-razdacha-stubbs-the-zombie
21-28 October 2021,Among the Sleep,2021,https://ru.wikipedia.org/wiki/Among_the_Sleep,https://www.igromania.ru/news/110010/V_Epic_Games_Store_besplatno_otdayut_Among_the_Sleep_Enhanced_Edition.html
28 October - 4 November 2021,DARQ: Complete Edition,2021,https://ru.wikipedia.org/wiki/DARQ?action=edit&redlink=1,https://dtf.ru/sale/922198-v-epic-games-store-nachalas-razdacha-darq-complete-edition
4-11 November 2021,Aven Colony,2021,https://ru.wikipedia.org/wiki/Aven_Colony?action=edit&redlink=1,https://dtf.ru/sale/930760-v-epic-games-store-nachalas-razdacha-aven-colony-simulyatora-kolonizacii-planety
9-16 November 2021,Tiny Tina’s Assault on Dragon Keep: A Wonderlands One-shot Adventure,2021,https://ru.wikipedia.org/wiki/Tiny_Tina’s_Assault_on_Dragon_Keep:_A_Wonderlands_One-shot_Adventure?action=edit&redlink=1,https://dtf.ru/sale/937145-fenteziynoe-dlc-k-borderlands-2-pro-kroshku-tinu-vyshlo-v-vide-otdelnoy-igry-ee-besplatno-razdayut-v-egs
11-18 November 2021,Rogue Company Season Four Epic Pack,2021,https://ru.wikipedia.org/wiki/Rogue_Company?action=edit&redlink=1,https://www.igromania.ru/news/110711/Cherez_nedelyu_v_Epic_Games_Store_budut_besplatno_otdavat_tri_igry.html
18-25 November 2021,Never Alone,2021,https://ru.wikipedia.org/wiki/Never_Alone,https://dtf.ru/sale/948414-v-epic-games-store-nachalas-razdacha-treh-igr-vklyuchaya-interaktivnuyu-cifrovuyu-vystavku-gruppy-radiohead
25 November - 2 December 2021,The Hunter: Call of the Wild,2021,https://ru.wikipedia.org/wiki/The_Hunter:_Call_of_the_Wild?action=edit&redlink=1,https://gamerant.com/epic-games-store-free-november-explained-antstream-thehunter/
2-9 December 2021,while True: learn(),2021,https://ru.wikipedia.org/wiki/While_True:_learn()?action=edit&redlink=1,https://dtf.ru/sale/966202-v-epic-games-store-nachalas-razdacha-while-true-learn-i-dead-by-daylight
9-16 December 2021,Godfall Challenger Edition,2021,https://ru.wikipedia.org/wiki/Godfall?action=edit&redlink=1,https://www.igromania.ru/news/111580/V_Epic_Games_Store_besplatno_otdayut_Prison_Architect_i_Godfall_Challenger_Edition.html
16 December 2021,Shenmue III,2021,https://ru.wikipedia.org/wiki/Shenmue_III,https://dtf.ru/sale/986409-v-epic-games-store-nachalas-prazdnichnaya-rasprodazha-s-razdachey-shenmue-iii
17 December 2021,Neon Abyss,2021,https://ru.wikipedia.org/wiki/Neon_Abyss?action=edit&redlink=1,https://dtf.ru/sale/987886-v-epic-games-store-nachalas-razdacha-neon-abyss
18 December 2021,Remnant: From the Ashes,2021,https://ru.wikipedia.org/wiki/Remnant:_From_the_Ashes,https://dtf.ru/sale/989164-v-epic-games-store-nachalas-razdacha-remnant-from-the-ashes
19 December 2021,The Vanishing of Ethan Carter,2021,https://ru.wikipedia.org/wiki/The_Vanishing_of_Ethan_Carter,https://dtf.ru/sale/990561-v-epic-games-store-nachalas-razdacha-the-vanishing-of-ethan-carter
20 December 2021,Loop Hero,2021,https://ru.wikipedia.org/wiki/Loop_Hero,https://dtf.ru/sale/992522-v-epic-games-store-nachalas-razdacha-loop-hero
21 December 2021,Second Extinction,2021,https://ru.wikipedia.org/wiki/Second_Extinction?action=edit&redlink=1,https://dtf.ru/sale/1001090-v-epic-games-store-nachalas-razdacha-second-extinction-kooperativnogo-shutera-pro-voynu-s-dinozavrami
22 December 2021,Mutant Year Zero: Road to Eden,2021,https://ru.wikipedia.org/wiki/Mutant_Year_Zero:_Road_to_Eden,https://dtf.ru/sale/1002584-v-epic-games-store-nachalas-razdacha-mutant-year-zero-road-to-eden
23 December 2021,Vampyr,2021,https://ru.wikipedia.org/wiki/Vampyr_(игра),https://kanobu.ru/news/vampyr-stala-novoj-besplatnoj-igroj-dlya-razdachi-v-epic-games-store-446361/
24 December 2021,Pathfinder: Kingmaker,2021,https://ru.wikipedia.org/wiki/Pathfinder:_Kingmaker,https://dtf.ru/sale/1005733-v-epic-games-store-nachalas-razdacha-pathfinder-kingmaker
25 December 2021,Prey,2021,"https://ru.wikipedia.org/wiki/Prey_(игра,_2017)",https://dtf.ru/sale/1006986-v-epic-games-store-nachalas-razdacha-prey
26 December 2021,Control,2021,https://ru.wikipedia.org/wiki/Control_(игра),https://dtf.ru/sale/1008177-v-epic-games-store-nachalas-razdacha-control
27 December 2021,Mages of Mystralia,2021,https://ru.wikipedia.org/wiki/Mages_of_Mystralia?action=edit&redlink=1,https://www.championat.com/cybersport/news-4558861-priklyuchenie-mages-of-mystralia-dlya-pk-otdayut-besplatno-no-vsego-24-chasa.html
28 December 2021,Moving Out,2021,https://ru.wikipedia.org/wiki/Moving_Out_(игра)?action=edit&redlink=1,https://www.igromania.ru/news/112206/Simulyator_gruzchikov_Moving_Out_daryat_v_Epic_Games_Store.html
29 December 2021,Salt and Sanctuary,2021,https://ru.wikipedia.org/wiki/Salt_and_Sanctuary,https://dtf.ru/sale/1012409-v-epic-games-store-nachalas-razdacha-salt-and-sanctuary
30 December - 6 January 2022,Tomb Raider,2021,"https://ru.wikipedia.org/wiki/Tomb_Raider_(игра,_2013)",https://dtf.ru/sale/1013798-v-epic-games-store-nachalas-razdacha-trilogii-tomb-raider
6-13 January 2022,Gods Will Fall,2022,https://ru.wikipedia.org/wiki/Gods_Will_Fall?action=edit&redlink=1,https://dtf.ru/sale/1022641-v-epic-games-store-nachalas-razdacha-gods-will-fall
13-20 January 2022,Galactic Civilizations III,2022,https://ru.wikipedia.org/wiki/Galactic_Civilizations_III,https://www.igromania.ru/news/112539/V_Epic_Games_Store_nachalas_besplatnaya_razdacha_Galactic_Civilizations_III.html
20-27 January 2022,Relicta,2022,https://ru.wikipedia.org/wiki/Relicta?action=edit&redlink=1,https://dtf.ru/sale/1043545-v-epic-games-store-nachalas-razdacha-relicta-golovolomki-s-mehanikami-osnovannymi-na-zakonah-fiziki
27 January - 3 February 2022,Daemon X Machina,2022,https://ru.wikipedia.org/wiki/Daemon_X_Machina?action=edit&redlink=1,https://stopgame.ru/newsdata/51809/v_egs_nachalas_razdacha_daemon_x_machina_ekshena_pro_zdorovennyh_boevyh_robotov
3-10 February 2022,Yooka-Laylee and the Impossible Lair,2022,https://ru.wikipedia.org/wiki/Yooka-Laylee_and_the_Impossible_Lair,https://dtf.ru/sale/1063683-v-epic-games-store-nachalas-razdacha-platformera-yooka-laylee-and-the-impossible-lair-ot-avtorov-donkey-kong-country
10-17 February 2022,Windbound,2022,https://ru.wikipedia.org/wiki/Windbound?action=edit&redlink=1,https://www.igromania.ru/news/113416/V_Epic_Games_Store_besplatno_otdayut_priklyuchenie-vyzhivalku_Windbound.html
17-24 February 2022,Brothers: A Tale of Two Sons,2022,https://ru.wikipedia.org/wiki/Brothers:_A_Tale_of_Two_Sons,https://www.igromania.ru/news/113645/V_Epic_Games_Storebesplatno_razdayut_priklyuchenie_Brothers-A_Tale_of_Two_Sons.html
24 February - 3 March 2022,Cris Tales,2022,https://ru.wikipedia.org/wiki/Cris_Tales?action=edit&redlink=1,https://overclockers.ru/softnews/show/117014/v-epic-games-store-daryat-cris-tales-a-na-sledujuschej-nedele-razdadut-srazu-tri-podarka
3-10 March 2022,Black Widow Recharged,2022,https://ru.wikipedia.org/wiki/Black_Widow_(игра)?action=edit&redlink=1,https://dtf.ru/sale/1022121-v-epic-games-store-nachalas-razdacha-tvin-stik-shuterov-black-widow-recharged-i-centipede-recharged
10-17 March 2022,Cities: Skylines,2022,https://ru.wikipedia.org/wiki/Cities:_Skylines,https://www.igromania.ru/news/114280/Na_sleduyuschey_nedele_v_Epic_Games_Store_besplatno_razdadut_horror_In_Sound_Mind.html
17-24 March 2022,In Sound Mind,2022,https://ru.wikipedia.org/wiki/In_Sound_Mind?action=edit&redlink=1,https://dtf.ru/sale/1121909-v-epic-games-store-nachalas-razdacha-in-sound-mind
24-31 March 2022,Demon’s Tilt,2022,https://ru.wikipedia.org/wiki/Demon’s_Tilt?action=edit&redlink=1,https://www.igromania.ru/news/114724/V_EGS_budut_besplatno_otdavat_City_of_Brass_i_vozmozhno_Total_War_Warhammer.html
31 March - 7 April 2022,Total War: Warhammer,2022,https://ru.wikipedia.org/wiki/Total_War:_Warhammer,https://www.gry-online.pl/newsroom/total-war-warhammer-od-dzis-za-darmo-w-epic-games-store/z121923
7-14 April 2022,Rogue Legacy,2022,https://ru.wikipedia.org/wiki/Rogue_Legacy,https://dtf.ru/sale/1149470-v-epic-games-store-nachalas-razdacha-rogue-legacy-i-the-vanishing-of-ethan-carter
14-21 April 2022,Insurmountable,2022,https://ru.wikipedia.org/wiki/Insurmountable?action=edit&redlink=1,https://www.igromania.ru/news/115333/V_Epic_Games_Store_besplatno_otdayut_XCOM_2_i_gornoe_priklyuchenie_Insurmountable.html
21-28 April 2022,Riverbond,2022,https://ru.wikipedia.org/wiki/Riverbond?action=edit&redlink=1,https://www.igromania.ru/news/115521/V_Epic_Games_Store_besplatno_otdayut_Riverbond_i_Amnesia_Rebirth.html
28 April - 5 May 2022,Just Die Already,2022,https://ru.wikipedia.org/wiki/Just_Die_Already?action=edit&redlink=1,https://dtf.ru/sale/1168940-v-epic-games-store-nachalas-razdacha-advenchury-paradigm-i-simulyatora-starogo-zlobnogo-hrycha-just-die-already
