,End,Link,Name,Number,Start,Unnamed: 0,descr,fmt_orig_price,id,namespace,orig_price,tags
259,8/5/2021,https://store.epicgames.com/en-US/p/mothergunship,Mothergunship,218,7/29/2021,259,"MOTHERGUNSHIP is a bullet-hell FPS where you craft your own guns, fight huge bosses, and defeat a robotic alien armada that conquered Earth. Face off against overwhelming odds in brutal, non-stop combats where thinking on your feet is the only way to survive.",$24.99,5d2ce65c344c40918fe103c5dc34e6f1,7dc02eac2fe347368b5f72a02bb5bc5e,2499.0,"[{'id': '1216'}, {'id': '1264'}, {'id': '1185'}, {'id': '1203'}, {'id': '21109'}, {'id': '21894'}, {'id': '1210'}, {'id': '1370'}, {'id': '9547'}]"
260,7/29/2021,https://store.epicgames.com/en-US/p/verdun,Verdun,217,7/22/2021,260,Merciless trench warfare immerses you and your squad in intense battles of attack and defense. Verdun is the first multiplayer FPS set in an authentic World War One setting offering a rarely seen battlefield experience.,$19.99,7d26ed48c61f498189e60b282eaddbdf,e4a2a414d46849f49a35c0f80df2903a,1999.0,"[{'id': '1216'}, {'id': '21122'}, {'id': '1188'}, {'id': '21125'}, {'id': '1190'}, {'id': '21894'}, {'id': '19847'}, {'id': '9547'}, {'id': '9549'}, {'id': '21135'}, {'id': '1264'}, {'id': '21138'}, {'id': '1203'}, {'id': '1299'}, {'id': '21139'}, {'id': '21140'}, {'id': '21141'}, {'id': '1210'}, {'id': '1370'}, {'id': '21149'}, {'id': '10719'}]"
261,7/29/2021,https://store.epicgames.com/en-US/p/defense-grid,Defense Grid: The Awakening,216,7/22/2021,261,"Defense Grid: The Awakening is the ultimate tower defense game that appeals to players of all skill levels. A horde of enemies is invading, and it's up to the player to stop them by strategically building defensive towers around their base.",$9.99,cae9b411f608482a9c646f00daac9e46,0dabb0f14acf4fef84bd2b2bf3085dfc,999.0,"[{'id': '1188'}, {'id': '21894'}, {'id': '19847'}, {'id': '21127'}, {'id': '21129'}, {'id': '9547'}, {'id': '1233'}, {'id': '1393'}, {'id': '1170'}, {'id': '21138'}, {'id': '21139'}, {'id': '21140'}, {'id': '21141'}, {'id': '1115'}, {'id': '21149'}, {'id': '21119'}]"
262,7/22/2021,https://store.epicgames.com/en-US/p/obduction,Obduction,215,7/15/2021,262,"A sci-fi adventure from Cyan, the creators of Myst. Abducted far across the universe, you find yourself on a broken alien landscape with odd pieces of Earth. Explore, uncover, solve, and find a way to make it home.",$29.99,48a3d2ead65c450b996ba3f4c1d88c68,4ac85017adaf4d228518d64325c4ec65,2999.0,"[{'id': '1298'}, {'id': '21894'}, {'id': '1370'}, {'id': '9547'}, {'id': '1117'}, {'id': '21150'}, {'id': '10719'}, {'id': '1263'}]"
263,7/22/2021,https://store.epicgames.com/en-US/p/offworld-trading-company,Offworld Trading Company,214,7/15/2021,263,"Mars has been colonized, and Earth's corporate titans fight to dominate this new market. Competition is fierce in this fast-paced economic RTS from Civilization IV Lead Designer, Soren Johnson.",$29.99,4531b00fcf354680bf68d138b7155fda,e8882546f28e4832af823c646aed232e,2999.0,"[{'id': '1120'}, {'id': '21122'}, {'id': '1188'}, {'id': '21125'}, {'id': '21129'}, {'id': '9547'}, {'id': '1263'}, {'id': '21138'}, {'id': '1299'}, {'id': '21140'}, {'id': '21141'}, {'id': '1115'}, {'id': '21149'}]"
264,7/15/2021,https://store.epicgames.com/en-US/p/ironcast,Ironcast,213,7/8/2021,264,"Ironcast is inspired by Victorian-era science fiction, set in an exciting alternative history; a time when refined men and women in top hats and bonnets commanded gigantic walking war machines, laying waste to the enemies of the British Empire.",$14.99,397d1ab85db34e7a8dfd943b51c1c6a5,8e56fc9fc0fb4f18af0592c74ad896ba,1499.0,"[{'id': '21894'}, {'id': '1367'}, {'id': '1370'}, {'id': '1115'}, {'id': '9547'}, {'id': '9549'}, {'id': '1263'}]"
265,7/15/2021,https://store.epicgames.com/en-US/p/bridge-constructor-the-walking-dead,Bridge Constructor: The Walking Dead,212,7/8/2021,265,Prepare for the ultimate mashup experience! Bridge Constructor: The Walking Dead combines the legendary and challenging puzzle gameplay of Bridge Constructor™ with the post-apocalyptic zombie universe of AMC’s The Walking Dead.,$9.99,8e30f82a970b48e684a27ca49c386115,39697c68e46b48d2b75e17bdc417d859,999.0,"[{'id': '1393'}, {'id': '1298'}, {'id': '21894'}, {'id': '1370'}, {'id': '1115'}, {'id': '9547'}, {'id': '21150'}, {'id': '10719'}]"
266,7/8/2021,https://store.epicgames.com/en-US/p/the-spectrum-retreat,The Spectrum Retreat,211,7/1/2021,266,"Check-in to The Spectrum Retreat for a stay you won’t forget. Explore the pristine and uncanny hotel, The Penrose, while solving its ingenious colour-coded puzzles and discovering the reasons behind their seemingly never-ending stay.",$12.99,2cb68a86262b4e0a91dbe0625cbbb242,32ef234417314b65a4f76041b684f4d0,1299.0,"[{'id': '1298'}, {'id': '21894'}, {'id': '1370'}, {'id': '1115'}, {'id': '9547'}, {'id': '1117'}, {'id': '9549'}]"
267,7/1/2021,https://store.epicgames.com/en-US/p/sonic-mania,Sonic Mania,210,6/24/2021,267,"The ultimate celebration of past and future. An all-new adventure full of unique bosses, rolling 2D landscapes, and fun classic gameplay. Sonic Mania brings retro fast-paced platforming into the future through pixel perfect 2D graphics running at 60FPS.",$19.99,8d50972d297f448cb3718d6e8094327a,45e7cf3c49054f2fb20b673d9b0ae69e,1999.0,"[{'id': '1216'}, {'id': '21121'}, {'id': '21122'}, {'id': '1188'}, {'id': '21127'}, {'id': '9547'}, {'id': '9549'}, {'id': '1264'}, {'id': '21138'}, {'id': '21139'}, {'id': '21140'}, {'id': '21109'}, {'id': '21141'}, {'id': '1370'}, {'id': '21149'}, {'id': '1151'}, {'id': '21119'}]"
268,7/1/2021,https://store.epicgames.com/en-US/p/horizon-chase-turbo,Horizon Chase Turbo,209,6/24/2021,268,Horizon Chase Turbo is a racing game inspired by the great hits of the 80's and 90's. It recreates the classic arcade gameplay with unbound speed limits of fun. Full throttle on and enjoy!,$19.99,58a2b650955f4920876afe86dfb563c1,253d451b16364a22907dd01b7e928fb6,1999.0,"[{'id': '21121'}, {'id': '21122'}, {'id': '1188'}, {'id': '21125'}, {'id': '21894'}, {'id': '19847'}, {'id': '9547'}, {'id': '1263'}, {'id': '21136'}, {'id': '21138'}, {'id': '1299'}, {'id': '21139'}, {'id': '21140'}, {'id': '21141'}, {'id': '1212'}, {'id': '21149'}, {'id': '21119'}]"
