#,GG,Games,Start,End,Unique,Individual Titles,Suggestions
,,,,,490,480,Email
421,,Spelldrifter,9/7/2023,9/14/2023,,,
420,,Cave Story+,8/31/2023,9/7/2023,,,
419,,Homeworld: Deserts of Kharak,8/24/2023,8/31/2023,,,
418,,Dodo Peak,8/17/2023,8/24/2023,,,
417,,Black Book,8/17/2023,8/24/2023,,,
416,,Orwell: Keeping an Eye on You,8/10/2023,8/17/2023,,,
415,,Europa Universalis IV,8/10/2023,8/17/2023,,,
414,,Loop Hero,8/3/2023,8/10/2023,,,
413,,Bloons TD 6,8/3/2023,8/10/2023,,,
412,,Severed Steel,7/27/2023,8/3/2023,,,
411,,Homeworld Remastered Collection,7/27/2023,8/3/2023,,,
410,,The Elder Scrolls Online,7/20/2023,7/27/2023,,,
409,,Murder by Numbers,7/20/2023,7/27/2023,,,
408,,Train Valley 2,7/13/2023,7/20/2023,,,
407,,Grime,7/6/2023,7/13/2023,,,
406,,The Dungeon of Naheulbeuk: The Amulet of Chaos,6/29/2023,7/6/2023,,,
405,,theHunter: Call of the Wild,6/22/2023,6/29/2023,,,
404,,Idle Champions of the Forgotten Realms,6/22/2023,6/29/2023,,,
403,⭐,Guacamelee! 2,6/15/2023,6/22/2023,,,
402,⭐,Guacamelee! Super Turbo Championship Edition,6/15/2023,6/22/2023,,,
401,,Payday 2,6/8/2023,6/15/2023,,,
400,,Midnight Ghost Hunt,6/1/2023,6/8/2023,,,
399,⭐,Fallout: New Vegas Ultimate Edition,5/25/2023,6/1/2023,,,
398,⭐,Death Stranding,5/18/2023,5/25/2023,,,
397,,The Sims 4 The Daring Lifestyle Bundle,5/11/2023,5/18/2023,,,
396,,Kao the Kangaroo,5/4/2023,5/11/2023,,,
395,,Horizon Chase Turbo,5/4/2023,5/11/2023,,,
394,,Against All Odds,5/4/2023,5/11/2023,,,
393,,Poker Club,4/27/2023,5/4/2023,,,
392,,Breathedge,4/27/2023,5/4/2023,,,
391,,Never Alone (Kisima Ingitchuna),4/20/2023,4/27/2023,,,
390,,Beyond Blue,4/20/2023,4/27/2023,,,
389,,Second Extinction,4/13/2023,4/20/2023,,,
388,,Mordhau,4/13/2023,4/20/2023,,,
387,,shapez,4/6/2023,4/13/2023,,,
386,,Dying Light: The Following – Enhanced Edition,4/6/2023,4/13/2023,,,
385,,Tunche,3/30/2023,4/6/2023,,,
384,,The Silent Age,3/30/2023,4/6/2023,,,
383,,World of Warships Starter Pack: Ishizuchi,3/23/2023,3/30/2023,,,
382,,Chess Ultra,3/23/2023,3/30/2023,,,
381,,"Warhammer 40,000: Gladius – Relics of War",3/16/2023,3/23/2023,,,
380,,Call of the Sea,3/9/2023,3/16/2023,,,
379,,Rise of Industry,3/2/2023,3/9/2023,,,
378,,Duskers,2/23/2023,3/2/2023,,,
377,,Warpips,2/16/2023,2/23/2023,,,
376,,Recipe for Disaster,2/9/2023,2/16/2023,,,
375,⭐,Dishonored: Death of the Outsider,2/2/2023,2/9/2023,,,
374,,City of Gangsters,2/2/2023,2/9/2023,,,
373,,Hell Is Others,1/26/2023,2/2/2023,,,
372,,Adios,1/26/2023,2/2/2023,,,
371,,Epistory: Typing Chronicles,1/19/2023,1/26/2023,,,
370,,Gamedec: Definitive Edition,1/12/2023,1/19/2023,,,
369,,First Class Trouble,1/12/2023,1/19/2023,,,
368,,Divine Knockout,1/12/2023,1/19/2023,,,
367,,Shadow Tactics: Aiko’s Choice,1/5/2023,1/12/2023,,,
366,,Kerbal Space Program,1/5/2023,1/12/2023,,,
365,,Eximius: Seize the Frontline,12/29/2022,1/5/2023,,,
364,⭐,Dishonored: Definitive Edition,12/29/2022,1/5/2023,,,
363,,Mortal Shell,12/28/2022,12/29/2022,,,
362,,Severed Steel,12/27/2022,12/28/2022,,,
361,,F.I.S.T.: Forged in Shadow Torch,12/26/2022,12/27/2022,,,
360,⭐,Death Stranding,12/25/2022,12/26/2022,,,
359,⭐,Metro: Last Light Redux,12/24/2022,12/25/2022,,,
358,,Encased,12/23/2022,12/24/2022,,,
357,,Fallout Tactics: Brotherhood of Steel,12/22/2022,12/23/2022,,,
356,,Fallout 2: A Post Nuclear Role Playing Game,12/22/2022,12/23/2022,,,
355,,Fallout: A Post Nuclear Role Playing Game,12/22/2022,12/23/2022,,,
354,,LEGO Builder’s Journey,12/21/2022,12/22/2022,,,
353,,Wolfenstein: The New Order,12/20/2022,12/21/2022,,,
352,,Them’s Fightin’ Herds,12/19/2022,12/20/2022,,,
351,⭐,Sable,12/18/2022,12/19/2022,,,
350,,Costume Quest 2,12/17/2022,12/18/2022,,,
349,,Horizon Chase Turbo,12/16/2022,12/17/2022,,,
348,,Bloons TD 6,12/15/2022,12/16/2022,,,
347,,Wildcat Gun Machine,12/8/2022,12/15/2022,,,
346,,Saints Row IV: Re-Elected,12/8/2022,12/15/2022,,,
345,,RPG in a Box,12/1/2022,12/8/2022,,,
344,,Fort Triumph,12/1/2022,12/8/2022,,,
343,,Star Wars: Squadrons,11/24/2022,12/1/2022,,,
342,,Evil Dead: The Game,11/17/2022,11/24/2022,,,
341,,Dark Deity,11/17/2022,11/24/2022,,,
340,,Epic Cheerleader Pack,11/15/2022,11/24/2022,,,
339,,Shadow Tactics: Blades of the Shogun,11/10/2022,11/17/2022,,,
338,,Alba: A Wildlife Adventure,11/10/2022,11/17/2022,,,
337,,Rising Storm 2: Vietnam,11/3/2022,11/10/2022,,,
336,,Filament,11/3/2022,11/10/2022,,,
335,,"Warhammer 40,000: Mechanicus",10/27/2022,11/3/2022,,,
334,,Saturnalia,10/27/2022,11/3/2022,,,
333,⭐,Fallout 3: Game of the Year Edition,10/20/2022,10/27/2022,,,
332,,Evoland Legendary Edition,10/20/2022,10/27/2022,,,
331,,ToeJam & Earl: Back in the Groove!,10/13/2022,10/20/2022,,,
330,,Darkwood,10/13/2022,10/20/2022,,,
329,,Slain: Back from Hell,10/6/2022,10/13/2022,,,
328,,Rising Hell,10/6/2022,10/13/2022,,,
327,,The Drone Racing League,9/29/2022,10/6/2022,,,
326,,Runbow,9/29/2022,10/6/2022,,,
325,,Gloomhaven,9/22/2022,9/29/2022,,,
324,,Ark: Survival Evolved,9/22/2022,9/29/2022,,,
323,,The Captain,9/15/2022,9/22/2022,,,
322,,Spirit of the North,9/15/2022,9/22/2022,,,
321,,Realm Royale Reforged Epic Launch Bundle,9/8/2022,9/15/2022,,,
320,,Hundred Days: Winemaking Simulator,9/8/2022,9/15/2022,,,
319,,Submerged: Hidden Depths,9/1/2022,9/8/2022,,,
318,,Shadow of the Tomb Raider: Definitive Edition,9/1/2022,9/8/2022,,,
317,,Knockout City,9/1/2022,9/8/2022,,,
316,,Ring of Pain,8/25/2022,9/1/2022,,,
315,,Destiny 2: Bungie 30th Anniversary Pack,8/23/2022,8/30/2022,,,
314,,Rumbleverse Boom Boxer Content Pack,8/18/2022,8/25/2022,,,
313,,Doom 64,8/18/2022,8/25/2022,,,
312,,"Cook, Serve, Delicious! 3?!",8/11/2022,8/18/2022,,,
311,,Unrailed!,8/4/2022,8/11/2022,,,
310,,Lawn Mowing Simulator,7/28/2022,8/4/2022,,,
309,,Tannenberg,7/21/2022,7/28/2022,,,
308,,Shop Titans,7/21/2022,7/28/2022,,,
307,,Wonder Boy: The Dragon’s Trap,7/14/2022,7/21/2022,,,
306,,Killing Floor 2,7/7/2022,7/14/2022,,,
305,,Ancient Enemy,7/7/2022,7/14/2022,,,
304,,Iratus: Lord of the Dead,6/30/2022,7/7/2022,,,
303,,Hood: Outlaws & Legends,6/30/2022,7/7/2022,,,
302,,Geneforge 1 – Mutagen,6/30/2022,7/7/2022,,,
301,,Car Mechanic Simulator 2018,6/23/2022,6/30/2022,,,
300,,A Game of Thrones: The Board Game Digital Edition,6/23/2022,6/30/2022,,,
299,,Supraland,6/16/2022,6/23/2022,,,
298,,Maneater,6/9/2022,6/16/2022,,,
297,,Wolfenstein: The New Order,6/2/2022,6/9/2022,,,
296,⭐,BioShock: The Collection,5/26/2022,6/2/2022,,,
295,⭐,Borderlands 3,5/19/2022,5/26/2022,,,
294,,Redout: Enhanced Edition,5/12/2022,5/19/2022,,,
293,⭐,Prey,5/12/2022,5/19/2022,,,
292,,Jotun: Valhalla Edition,5/12/2022,5/19/2022,,,
291,,Terraforming Mars,5/5/2022,5/12/2022,,,
290,,Paradigm,4/28/2022,5/5/2022,,,
289,,Just Die Already,4/28/2022,5/5/2022,,,
288,,Riverbond,4/21/2022,4/28/2022,,,
287,,Amnesia: Rebirth,4/21/2022,4/28/2022,,,
286,⭐,XCOM 2,4/14/2022,4/21/2022,,,
285,,Insurmountable,4/14/2022,4/21/2022,,,
284,,Rogue Legacy,4/7/2022,4/14/2022,,,
283,⭐,The Vanishing of Ethan Carter,4/7/2022,4/14/2022,,,
282,⭐,Total War: Warhammer,3/31/2022,4/7/2022,,,
281,,City of Brass,3/31/2022,4/7/2022,,,
280,,Demon’s Tilt,3/24/2022,3/31/2022,,,
279,,In Sound Mind,3/17/2022,3/24/2022,,,
278,,Cities: Skylines,3/10/2022,3/17/2022,,,
277,,Centipede: Recharged,3/3/2022,3/10/2022,,,
276,,Black Widow: Recharged,3/3/2022,3/10/2022,,,
275,,Dauntless Epic Slayer Kit,3/3/2022,3/10/2022,,,
274,,Cris Tales,2/24/2022,3/3/2022,,,
273,⭐,Brothers: A Tale of Two Sons,2/17/2022,2/24/2022,,,
272,,Windbound,2/10/2022,2/17/2022,,,
271,,Yooka-Laylee and the Impossible Lair,2/3/2022,2/10/2022,,,
270,,Daemon X Machina,1/27/2022,2/3/2022,,,
269,,Relicta,1/20/2022,1/27/2022,,,
268,,Galactic Civilizations III,1/13/2022,1/20/2022,,,
267,,Gods Will Fall,1/6/2022,1/13/2022,,,
266,⭐,Shadow of the Tomb Raider: Definitive Edition,12/31/2021,1/6/2022,,,
265,⭐,Rise of the Tomb Raider: 20 Year Celebration,12/31/2021,1/6/2022,,,
264,⭐,Tomb Raider Game of the Year Edition,12/31/2021,1/6/2022,,,
263,,Salt and Sanctuary,12/29/2021,12/30/2021,,,
262,,Moving Out,12/28/2021,12/29/2021,,,
261,,Mages of Mystralia,12/27/2021,12/28/2021,,,
260,⭐,Control,12/26/2021,12/27/2021,,,
259,⭐,Prey,12/25/2021,12/26/2021,,,
258,,Pathfinder: Kingmaker,12/24/2021,12/25/2021,,,
257,,Vampyr,12/23/2021,12/24/2021,,,
256,,Mutant Year Zero: Road to Eden,12/22/2021,12/23/2021,,,
255,,Second Extinction,12/21/2021,12/22/2021,,,
254,,Loop Hero,12/20/2021,12/21/2021,,,
253,⭐,The Vanishing of Ethan Carter,12/19/2021,12/20/2021,,,
252,,Remnant: From the Ashes,12/18/2021,12/19/2021,,,
251,,Neon Abyss,12/17/2021,12/18/2021,,,
250,,Shenmue III,12/16/2021,12/17/2021,,,
249,,Prison Architect,12/9/2021,12/16/2021,,,
248,,Godfall Challenger Edition,12/9/2021,12/16/2021,,,
247,,while True: learn(),12/2/2021,12/9/2021,,,
246,,Dead by Daylight,12/2/2021,12/9/2021,,,
245,,Antstream Epic Welcome Pack,11/25/2021,12/2/2021,,,
244,,theHunter: Call of the Wild,11/25/2021,12/2/2021,,,
243,,Guild of Dungeoneering,11/18/2021,11/25/2021,,,
242,,Kid A Mnesia Exhibition,11/18/2021,11/25/2021,,,
241,,Never Alone (Kisima Ingitchuna),11/18/2021,11/25/2021,,,
240,,Rogue Company Season Four Epic Pack,11/11/2021,11/18/2021,,,
239,,Tiny Tina’s Assault on Dragon Keep,11/11/2021,11/18/2021,,,
238,,Aven Colony,11/4/2021,11/11/2021,,,
237,,DARQ: Complete Edition,10/28/2021,11/4/2021,,,
236,,Among the Sleep: Enhanced Edition,10/21/2021,10/28/2021,,,
235,,Stubbs the Zombie in Rebel Without a Pulse,10/14/2021,10/21/2021,,,
234,,Paladins Epic Pack,10/14/2021,10/21/2021,,,
233,⭐,PC Building Simulator,10/7/2021,10/14/2021,,,
232,,Europa Universalis IV,9/30/2021,10/7/2021,,,
231,,2064: Read Only Memories,9/30/2021,10/7/2021,,,
230,,The Escapists,9/23/2021,9/30/2021,,,
229,,Tharsis,9/16/2021,9/23/2021,,,
228,,Speed Brawl,9/16/2021,9/23/2021,,,
227,,Sheltered,9/9/2021,9/16/2021,,,
226,,Nioh: The Complete Edition,9/9/2021,9/16/2021,,,
225,,Yoku’s Island Express,9/2/2021,9/9/2021,,,
224,,Automachef,8/26/2021,9/2/2021,,,
223,⭐,Saints Row: The Third Remastered,8/26/2021,9/2/2021,,,
222,,Yooka-Laylee,8/19/2021,8/26/2021,,,
221,,Void Bastards,8/19/2021,8/26/2021,,,
220,,Rebel Galaxy,8/12/2021,8/19/2021,,,
219,,Minit,8/5/2021,8/12/2021,,,
218,⭐,A Plague Tale: Innocence,8/5/2021,8/12/2021,,,
217,,Train Sim World 2,7/29/2021,8/5/2021,,,
216,,Mothergunship,7/29/2021,8/5/2021,,,
215,,Verdun,7/22/2021,7/29/2021,,,
214,,Defense Grid: The Awakening,7/22/2021,7/29/2021,,,
213,,Obduction,7/15/2021,7/22/2021,,,
212,,Offworld Trading Company,7/15/2021,7/22/2021,,,
211,,Ironcast,7/8/2021,7/15/2021,,,
210,,Bridge Constructor: The Walking Dead,7/8/2021,7/15/2021,,,
209,,The Spectrum Retreat,7/1/2021,7/8/2021,,,
208,⭐,Sonic Mania,6/24/2021,7/1/2021,,,
207,,Horizon Chase Turbo,6/24/2021,7/1/2021,,,
206,,Overcooked! 2,6/17/2021,6/24/2021,,,
205,,Hell Is Other Demons,6/17/2021,6/24/2021,,,
204,⭐,Control,6/10/2021,6/17/2021,,,
203,⭐,Frostpunk,6/3/2021,6/10/2021,,,
202,,Among Us,5/27/2021,6/3/2021,,,
201,⭐,NBA 2K21,5/20/2021,5/27/2021,,,
200,,The Lion’s Song,5/13/2021,5/20/2021,,,
199,,Pine,5/6/2021,5/13/2021,,,
198,,World of Warships Exclusive Starter Pack,5/6/2021,5/13/2021,,,
197,,Idle Champions of the Forgotten Realms,4/29/2021,5/6/2021,,,
196,,Hand of Fate 2,4/22/2021,4/29/2021,,,
195,,Alien: Isolation,4/22/2021,4/29/2021,,,
194,,The First Tree,4/15/2021,4/22/2021,,,
193,,Ken Follett’s The Pillars of the Earth,4/15/2021,4/22/2021,,,
192,,Deponia: The Complete Journey,4/15/2021,4/22/2021,,,
191,,3 out of 10: Season Two,4/8/2021,4/15/2021,,,
190,,Tales of the Neon Sea,4/1/2021,4/8/2021,,,
189,,Creature in the Well,3/25/2021,4/1/2021,,,
188,,The Fall,3/18/2021,3/25/2021,,,
187,,Surviving Mars,3/11/2021,3/18/2021,,,
186,,Wargame: Red Dragon,3/4/2021,3/11/2021,,,
185,,Sunless Sea,2/25/2021,3/4/2021,,,
184,⭐,Rage 2,2/18/2021,2/25/2021,,,
183,,Absolute Drift,2/18/2021,2/25/2021,,,
182,,Halcyon 6 Starbase Commander,2/4/2021,2/11/2021,,,
181,⭐,Metro: Last Light Redux,2/4/2021,2/11/2021,,,
180,,For the King,2/4/2021,2/11/2021,,,
179,,Dandara: Trials of Fear Edition,1/28/2021,2/4/2021,,,
178,,Galactic Civilizations III,1/21/2021,1/28/2021,,,
177,,Star Wars Battlefront II: Celebration Edition,1/14/2021,1/21/2021,,,
176,,Crying Suns,1/7/2021,1/14/2021,,,
175,,Jurassic World Evolution,12/31/2020,1/7/2021,,,
174,,Torchlight II,12/30/2020,12/31/2020,,,
173,,Solitairica,12/29/2020,12/30/2020,,,
172,,Stranded Deep,12/28/2020,12/29/2020,,,
171,,Night in the Woods,12/27/2020,12/28/2020,,,
170,,My Time at Portia,12/26/2020,12/27/2020,,,
169,,Darkest Dungeon,12/25/2020,12/26/2020,,,
168,⭐,Inside,12/24/2020,12/25/2020,,,
167,,Tropico 5,12/23/2020,12/24/2020,,,
166,⭐,Metro 2033 Redux,12/22/2020,12/23/2020,,,
165,,Alien: Isolation,12/21/2020,12/22/2020,,,
164,,Defense Grid: The Awakening,12/20/2020,12/21/2020,,,
163,,The Long Dark,12/19/2020,12/20/2020,,,
162,⭐,Oddworld: New ‘n’ Tasty,12/18/2020,12/19/2020,,,
161,,Cities: Skylines,12/17/2020,12/18/2020,,,
160,,Pillars of Eternity: Definitive Edition,12/10/2020,12/17/2020,,,
159,,Tyranny: Gold Edition,12/10/2020,12/17/2020,,,
158,,Cave Story+,12/3/2020,12/10/2020,,,
157,⭐,MudRunner,11/26/2020,12/3/2020,,,
156,,Elite Dangerous,11/19/2020,11/26/2020,,,
155,,The World Next Door,11/19/2020,11/26/2020,,,
154,,The Textorcist: The Story of Ray Bibbia,11/12/2020,11/19/2020,,,
153,,Dungeons 3,11/5/2020,11/12/2020,,,
152,,Blair Witch,10/29/2020,11/5/2020,,,
151,,Ghostbusters: The Video Game Remastered,10/29/2020,11/5/2020,,,
150,,Layers of Fear 2,10/22/2020,10/29/2020,,,
149,,Costume Quest 2,10/22/2020,10/29/2020,,,
148,,Kingdom: New Lands,10/15/2020,10/22/2020,,,
147,,Amnesia: A Machine for Pigs,10/15/2020,10/22/2020,,,
146,,Rising Storm 2: Vietnam,10/8/2020,10/15/2020,,,
145,,Abzû,10/8/2020,10/15/2020,,,
144,,Pikuniku,10/1/2020,10/8/2020,,,
143,,RollerCoaster Tycoon 3: Complete Edition,9/24/2020,10/1/2020,,,
142,⭐,Watch Dogs 2,9/17/2020,9/24/2020,,,
141,,Stick It to the Man!,9/17/2020,9/24/2020,,,
