,id,descr,namespace,orig_price,fmt_orig_price,tags
28,,,,,,
29,a19138c05ca642d2a7fd73dcbadea7da,"Predecessor is the Paragon-fuelled, fast-paced action game that combines MOBA and FPS gameplay putting you at the heart of the fight with strategic choice, third person control and immersive action.  ",85f0435aa88347d185dbcb147716609b,899.0,$8.99,"[{'id': '1216'}, {'id': '21122'}, {'id': '21138'}, {'id': '1203'}, {'id': '21139'}, {'id': '21125'}, {'id': '21141'}, {'id': '21129'}, {'id': '9547'}, {'id': '21149'}, {'id': '1310'}]"
30,4a003a822ba54453b59c277f5bfc697f,"Claim your place as king among Titans!  GigaBash is a multiplayer arena brawler with gigantic film-inspired kaiju, larger than life heroes, earth-shattering special attacks and fully destructible environments.",16fc138ed83846bc90d923fe0d87ad72,2499.0,$24.99,"[{'id': '1216'}, {'id': '1296'}, {'id': '1344'}, {'id': '1203'}, {'id': '21109'}, {'id': '1110'}, {'id': '21894'}, {'id': '19847'}, {'id': '1370'}, {'id': '9547'}, {'id': '9549'}, {'id': '1263'}]"
31,61baaf316c8448e5b5c9ee80fe0b26f7,"Slam opponents into walls, launch them into the air & follow up with fast, high-flying attacks in this arena fighter. Choose from 14 characters with unique play styles. Face off in 1v1 matches, team up with other fighters or embrace the chaos of free-for-all.",651d07f1eee8419e80eb2938f8f44cf0,2999.0,$29.99,"[{'id': '1344'}, {'id': '1203'}, {'id': '1299'}, {'id': '9547'}, {'id': '9549'}]"
32,5526de3a3c35483da97b1b8ce970b360,Jitsu Squad is a Marvel vs Capcom inspired 4 player co-op TAG TEAM beat ‘em up with epic character transformations and fast paced combat.,6ef33a285bf5426d852762aecc95c826,1999.0,$19.99,"[{'id': '1216'}, {'id': '1264'}, {'id': '1344'}, {'id': '1203'}, {'id': '21129'}, {'id': '1370'}, {'id': '9547'}, {'id': '9549'}, {'id': '1263'}]"
33,34c8b5efd29f48209928d74752584426,"Deliver Us Mars is an atmospheric sci-fi adventure taking you on a suspense-fuelled, high-stakes mission to recover the ARK colony ships stolen by the mysterious Outward.",53ec6d9f552241549c4d8aa1a42bcb3b,2999.0,$29.99,"[{'id': '1216'}, {'id': '19847'}, {'id': '9547'}, {'id': '1117'}, {'id': '1263'}]"
34,eb081710a4b64e068c8881a138d9de3f,Surviving the Aftermath,epic,2499.0,$24.99,"[{'id': '1393'}, {'id': '1146'}, {'id': '1370'}, {'id': '1115'}, {'id': '9547'}]"
35,,,,,,
36,f787056536bf43298e39305a0c5c20c8,"Eat weapons, be scared and question your own mind in this Survival-Horror FPS Prop Hunt Roguelike about meat. Walls are watching you!",ca05bd340e84436ebea4a0c0ca55befa,1999.0,$19.99,"[{'id': '1216'}, {'id': '19847'}, {'id': '1370'}, {'id': '9547'}, {'id': '1084'}, {'id': '1198'}]"
37,e0282b701ea04c42ac1b5a55c1a3bfde,"Play as an adorable yet trouble-making turnip. Avoid paying taxes, solve plantastic puzzles, harvest crops and battle massive beasts all in a journey to tear down a corrupt vegetable government!",80be39e522204fd0942916d73234d044,1499.0,$14.99,"[{'id': '1296'}, {'id': '1336'}, {'id': '1370'}, {'id': '9547'}, {'id': '9549'}, {'id': '1263'}]"
38,77693e5298d94911a0edd2492203d9ea,"To save his daughter, Detective Sebastian Castellanos returns to a world of nightmares in The Evil Within 2. 
 
Fight for your life inside a terrifying reality using weapons, traps and stealth in this survival horror follow-up from Tango Gameworks.",5891aa5c4c6f4aabbf555a679e02cfb9,3999.0,$39.99,"[{'id': '1218'}, {'id': '21122'}, {'id': '19847'}, {'id': '21127'}, {'id': '9547'}, {'id': '21138'}, {'id': '21139'}, {'id': '21140'}, {'id': '21141'}, {'id': '1080'}, {'id': '1210'}, {'id': '1370'}, {'id': '21149'}, {'id': '21119'}]"
