title,from_date,giveaway_year,is_repeat,is_standalone_game,egs_meets_threshold,egs_original_price_usd,egs_publisher,egs_tags,mc_criticScore,hltb_main_story
Chivalry 2,2025-12-31,2025,True,True,True,39.99,Tripwire Interactive,"Action, Fighting, Multiplayer, Windows, First Person",82.0,13.29
Chivalry 2,2025-12-31,2025,True,True,True,39.99,Tripwire Interactive,"Action, Fighting, Multiplayer, Windows, First Person",82.0,13.29
Trine (Enchanted Edition),2025-12-30,2025,False,True,True,14.99,Frozenbyte,"Online Multiplayer, RELAXING, Achievements, Windows, Controller Support, Co-op, Puzzle, Amazing Characters, Extremely Fun, Action-Adventure, Platformer, Local Multiplayer, Great for Beginners",80.0,
Trine 2: Complete Story,2025-12-30,2025,False,True,True,19.99,Frozenbyte,"Online Multiplayer, Diverse Characters, Achievements, Windows, Controller Support, Co-op, Puzzle, Recommend this Game, Amazing Characters, Amazing Storytelling, Extremely Fun, Action-Adventure, Quickly Understand the Controls, Platformer, Local Multiplayer, Great for Beginners",84.0,9.08
Trine 3: The Artifacts of Power,2025-12-30,2025,False,True,True,19.99,Frozenbyte,"Co-op, Online Multiplayer, Puzzle, Achievements, Action-Adventure, Single Player, Windows, Controller Support, Platformer, Local Multiplayer",68.0,4.94
Trine 4: The Nightmare Prince,2025-12-30,2025,False,True,True,34.99,Frozenbyte,"Online Multiplayer, Diverse Characters, RELAXING, Achievements, Creative Community, Windows, Controller Support, Beautiful Visuals, Co-op, Puzzle, Recommend this Game, Amazing Characters, Amazing Storytelling, Extremely Fun, Action-Adventure, Cross Platform, Single Player, Quickly Understand the Controls, Platformer, Local Multiplayer, Great for Beginners",80.0,10.22
Viewfinder,2025-12-29,2025,False,True,True,24.99,Thunderful Publishing,"Great for Quick Sessions, RELAXING, Cloud Saves, Achievements, Windows, Controller Support, Indie, Unique Visuals, Puzzle, Recommend this Game, Amazing Storytelling, Extremely Fun, Single Player, Educational, Quickly Understand the Controls, Platformer, Great for Beginners",84.0,4.11
SKALD: Against the Black Priory,2025-12-28,2025,False,True,True,14.99,Raw Fury,"Diverse Characters, RELAXING, Achievements, Windows, Indie, Unique Visuals, Recommend this Game, Amazing Characters, Amazing Storytelling, Extremely Fun, RPG, Single Player, Inclusive Character Customization, Quickly Understand the Controls, Mac OS, Great for Beginners",76.0,16.91
Cassette Beasts,2025-12-27,2025,False,True,True,19.99,Raw Fury,"Online Multiplayer, Diverse Characters, RELAXING, Kind Community, Achievements, Windows, Indie, Recommend this Game, Amazing Characters, Amazing Storytelling, Extremely Fun, RPG, Cross Platform, Single Player, Inclusive Character Customization, Quickly Understand the Controls, Great for Beginners",83.0,19.75
We Were Here Together,2025-12-26,2025,False,True,True,12.99,TMG Studios B.V.,"Co-op, Online Multiplayer, Puzzle, Gift A Game, Cross Platform, Windows, Adventure, Controller Support, Challenging Puzzles, Indie",,6.54
